No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,disproved,3,0.00,2,2,8.65
2,confirmation,12,0.02,3,8,7.24
3,significant,8,0.01,2,5,7.24
4,strengthened,18,0.03,4,8,7.07
5,harmony,10,0.02,2,5,6.91
6,accordance,20,0.03,3,8,6.50
7,refers,14,0.02,2,6,6.43
8,curious,30,0.05,4,14,6.33
9,secondly,17,0.03,2,1,6.15
10,stress,30,0.05,3,12,5.91
11,ascertained,21,0.03,2,11,5.84
12,summarised,21,0.03,2,11,5.84
13,depends,34,0.06,3,17,5.73
14,drew,23,0.04,2,4,5.71
15,matter,96,0.16,8,27,5.65
16,mind,25,0.04,2,11,5.59
17,suggestive,26,0.04,2,12,5.54
18,cited,27,0.04,2,10,5.48
19,recorded,135,0.22,9,24,5.33
20,certainty,31,0.05,2,12,5.28

Total tokens in window,340259
Total texts in window,41
