No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,discloses,5,0.00,2,3,8.68
2,foundation,11,0.01,2,4,7.54
3,borne,52,0.05,8,19,7.30
4,curious,14,0.01,2,7,7.19
5,justified,15,0.01,2,6,7.09
6,disclosed,17,0.02,2,3,6.91
7,fast,18,0.02,2,7,6.83
8,stelar,19,0.02,2,3,6.75
9,spite,60,0.06,6,20,6.68
10,orientated,20,0.02,2,9,6.68
11,supported,69,0.07,6,24,6.47
12,relevant,25,0.02,2,11,6.35
13,rhoeo,39,0.04,3,0,6.30
14,emerge,26,0.03,2,11,6.30
15,exist,62,0.06,4,16,6.04
16,concerning,94,0.09,5,19,5.76
17,accepted,57,0.06,3,20,5.75
18,country,40,0.04,2,7,5.68
19,noticed,66,0.06,3,17,5.54
20,butterfly,45,0.04,2,1,5.51

Total tokens in window,536661
Total texts in window,44
