No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,trier,6,0.00,5,1,11.12
2,fantasy,7,0.00,3,1,10.16
3,fiction,7,0.00,3,2,10.16
4,stylized,15,0.01,6,6,10.06
5,finder,12,0.00,4,2,9.80
6,disputed,21,0.01,3,12,8.57
7,acknowledging,17,0.01,2,13,8.29
8,compounded,30,0.01,3,26,8.06
9,disconnected,25,0.01,2,19,7.74
10,derives,54,0.02,4,41,7.63
11,complicated,155,0.06,10,106,7.43
12,subthreshold,36,0.01,2,16,7.21
13,spite,115,0.04,6,58,7.12
14,angiosperm,41,0.02,2,10,7.02
15,pvi,41,0.02,2,0,7.02
16,reflecting,209,0.08,9,145,6.84
17,despite,1075,0.40,45,348,6.80
18,attributable,79,0.03,3,65,6.66
19,sheet,115,0.04,4,24,6.54
20,csd,69,0.03,2,0,6.27

Total tokens in window,3774142
Total texts in window,883
