No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,paleontology,2,0.00,2,1,9.23
2,struck,20,0.03,6,12,7.49
3,familiar,17,0.03,3,12,6.72
4,adduced,12,0.02,2,8,6.64
5,winged,12,0.02,2,2,6.64
6,relating,30,0.05,4,10,6.32
7,fundamental,16,0.03,2,9,6.23
8,consistent,24,0.04,3,14,6.23
9,aware,25,0.04,3,16,6.17
10,spite,42,0.07,5,24,6.16
11,notwithstanding,27,0.05,3,8,6.06
12,curious,45,0.08,4,20,5.74
13,accord,37,0.06,3,13,5.60
14,receive,25,0.04,2,17,5.58
15,aquatic,27,0.05,2,2,5.47
16,justified,29,0.05,2,18,5.37
17,interesting,157,0.26,10,42,5.25
18,illustrate,63,0.11,4,21,5.25
19,illustrates,32,0.05,2,15,5.23
20,matter,246,0.41,15,40,5.19

Total tokens in window,498656
Total texts in window,54
