No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,puzzling,6,0.01,3,5,8.98
2,relating,10,0.01,3,7,8.24
3,despite,16,0.02,4,5,7.98
4,explains,13,0.01,2,10,7.28
5,emphasizes,14,0.01,2,10,7.17
6,supported,95,0.09,13,40,7.11
7,spite,80,0.08,9,31,6.83
8,accord,29,0.03,3,11,6.71
9,outstanding,29,0.03,3,15,6.71
10,inferred,21,0.02,2,12,6.59
11,stress,22,0.02,2,9,6.52
12,lupin,24,0.02,2,0,6.39
13,accounted,36,0.04,3,24,6.39
14,variance,25,0.02,2,6,6.34
15,reader,26,0.03,2,9,6.28
16,curious,53,0.05,4,18,6.25
17,recognition,27,0.03,2,17,6.22
18,mind,30,0.03,2,14,6.07
19,remarkable,129,0.13,8,37,5.97
20,complicated,57,0.06,3,30,5.73

Total tokens in window,686546
Total texts in window,68
