No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,despite,5,0.01,2,4,8.37
2,harmony,9,0.01,2,5,7.52
3,emphasised,14,0.02,3,8,7.47
4,supported,36,0.04,5,19,6.84
5,explain,28,0.03,3,12,6.47
6,recognise,28,0.03,3,13,6.47
7,revealed,19,0.02,2,11,6.44
8,accounted,20,0.02,2,13,6.37
9,complicated,20,0.02,2,11,6.37
10,experimental,66,0.08,6,13,6.23
11,owing,144,0.17,12,30,6.11
12,attention,86,0.10,7,28,6.07
13,responsible,25,0.03,2,10,6.05
14,spite,40,0.05,3,16,5.95
15,concerning,32,0.04,2,12,5.69
16,demonstrated,35,0.04,2,14,5.56
17,indicates,54,0.07,3,21,5.52
18,explained,39,0.05,2,15,5.41
19,apart,80,0.10,4,21,5.37
20,matter,123,0.15,6,27,5.33

Total tokens in window,363104
Total texts in window,37
