No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,summarising,4,0.01,2,3,8.44
2,unexplained,4,0.01,2,1,8.44
3,contradictory,5,0.01,2,3,8.12
4,arrange,19,0.03,5,14,7.51
5,acquisition,8,0.01,2,2,7.44
6,agricultural,12,0.02,3,1,7.44
7,explains,10,0.01,2,7,7.12
8,strengthened,16,0.02,3,7,7.02
9,adduced,11,0.02,2,4,6.98
10,accounted,26,0.04,4,14,6.74
11,revealed,14,0.02,2,8,6.63
12,undoubted,14,0.02,2,8,6.63
13,review,15,0.02,2,6,6.53
14,significance,23,0.03,3,7,6.50
15,tabulate,17,0.02,2,2,6.35
16,spite,37,0.05,4,12,6.23
17,summarise,21,0.03,2,5,6.05
18,attention,159,0.23,15,36,6.03
19,relating,43,0.06,4,8,6.01
20,notwithstanding,22,0.03,2,10,5.98

Total tokens in window,469807
Total texts in window,57
