No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recognition,12,0.01,2,6,7.61
2,supported,33,0.03,3,16,6.73
3,rhoeo,39,0.03,3,0,6.49
4,owing,88,0.08,5,17,6.06
5,beyond,55,0.05,3,20,6.00
6,confirmed,41,0.04,2,19,5.84
7,attributed,47,0.04,2,12,5.64
8,butterfly,47,0.04,2,1,5.64
9,concerning,48,0.04,2,15,5.61
10,spite,48,0.04,2,15,5.61
11,depend,54,0.05,2,15,5.44
12,explained,61,0.05,2,16,5.26
13,apart,129,0.11,4,19,5.18
14,differ,131,0.11,4,28,5.16
15,normally,70,0.06,2,21,5.06
16,mere,73,0.06,2,9,5.00
17,suggests,117,0.10,3,25,4.91
18,exactly,80,0.07,2,20,4.87
19,tend,82,0.07,2,19,4.84
20,account,293,0.25,7,28,4.81

Total tokens in window,429860
Total texts in window,30
