No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,reveals,19,0.02,6,6,8.24
2,intelligible,7,0.01,2,4,8.10
3,significant,8,0.01,2,5,7.91
4,notwithstanding,10,0.01,2,4,7.58
5,emphasise,13,0.01,2,8,7.21
6,affords,29,0.03,4,13,7.05
7,supported,37,0.04,4,18,6.70
8,considering,21,0.02,2,6,6.51
9,illustrates,21,0.02,2,13,6.51
10,matter,84,0.09,8,22,6.51
11,attention,80,0.08,7,23,6.39
12,striking,57,0.06,4,21,6.07
13,established,39,0.04,2,18,5.62
14,due,274,0.29,14,32,5.62
15,owing,122,0.13,6,28,5.56
16,explained,42,0.04,2,14,5.51
17,affected,44,0.05,2,12,5.45
18,important,180,0.19,7,29,5.22
19,majority,58,0.06,2,22,5.05
20,set,96,0.10,3,20,4.91

Total tokens in window,331199
Total texts in window,34
