"","Year","Collocate","MI Score"
"243",1828,"stated",6.01
"244",1828,"many",4.82
"245",1828,"these",4.68
"246",1829,"stated",5.9
"247",1829,"many",4.74
"248",1829,"these",4.61
"249",1829,"all",3.15
"250",1830,"these",4.63
"251",1830,"all",3.14
"252",1831,"these",4.49
"253",1831,"all",3.03
"254",1832,"these",4.45
"255",1832,"all",3.02
"256",1833,"many",4.28
"257",1833,"these",4.28
"258",1834,"recorded",7.79
"259",1834,"connected",5.42
"260",1834,"many",4.41
"261",1834,"these",4.23
"262",1835,"recorded",7.88
"263",1835,"connected",5.78
"264",1835,"these",4.29
"265",1835,"some",3.24
"266",1836,"recorded",8.13
"267",1836,"connected",5.8
"268",1836,"these",4.34
"269",1836,"some",3.37
"270",1837,"recorded",8.13
"271",1837,"connected",5.82
"272",1837,"these",4.46
"273",1837,"some",3.67
"274",1838,"recorded",8.15
"275",1838,"these",4.2
"276",1838,"some",3.47
"277",1839,"recorded",8.19
"278",1839,"these",4.24
"279",1839,"some",3.39
"280",1840,"these",4.12
"281",1840,"some",3.5
"282",1841,"these",4.52
"283",1841,"some",3.73
"284",1842,"these",4.61
"285",1842,"some",3.73
"286",1843,"these",4.69
"287",1844,"these",4.76
"288",1845,"these",4.69
"289",1846,"these",4.65
"290",1847,"these",4.68
"291",1848,"these",4.77
"292",1849,"these",4.92
"293",1850,"these",4.92
"294",1851,"these",4.81
"295",1852,"these",4.9
"296",1852,"have",3.08
"297",1853,"these",4.94
"298",1853,"have",3.16
"299",1854,"these",4.87
"300",1854,"have",3.24
"301",1855,"these",4.88
"302",1855,"have",3.25
"303",1856,"these",4.88
"304",1856,"have",3.09
"305",1857,"these",4.78
"306",1858,"these",4.85
"307",1859,"these",4.62
"308",1859,"have",3.17
"309",1860,"these",4.66
"310",1861,"these",4.63
"311",1862,"these",4.62
"312",1863,"these",4.56
"313",1864,"these",4.54
"314",1865,"these",4.7
"315",1866,"these",4.6
"316",1867,"these",4.73
"317",1868,"these",4.59
"318",1868,"all",3.79
"319",1869,"these",4.66
"320",1869,"all",3.82
"321",1870,"these",4.66
"322",1871,"these",4.64
"323",1871,"all",3.99
"324",1871,"which",3
"325",1872,"these",4.66
"326",1872,"all",3.71
"327",1872,"which",3.06
"328",1873,"these",4.79
"329",1874,"these",4.85
"330",1874,"which",3.08
"331",1875,"these",4.82
"332",1875,"which",3.11
"333",1876,"these",4.88
"334",1876,"which",3.16
"335",1877,"these",4.92
"336",1877,"which",3.23
"337",1878,"these",4.9
"338",1878,"which",3.05
"339",1879,"these",5.02
"340",1879,"which",3.04
"341",1880,"these",4.97
"342",1880,"which",3.03
"343",1881,"these",5.03
"344",1882,"these",5.02
"345",1883,"these",4.91
"346",1884,"these",4.89
"347",1885,"these",4.89
"348",1886,"these",4.83
"349",1887,"these",4.9
"350",1888,"these",4.97
"351",1889,"these",4.84
"352",1890,"these",4.87
"353",1891,"these",4.92
"354",1892,"these",4.93
"355",1893,"these",4.97
"356",1894,"these",4.96
"357",1895,"these",4.96
"358",1896,"these",5.07
"359",1897,"these",5.04
"360",1898,"these",5.03
"361",1899,"these",5.1
"362",1900,"these",5.08
"363",1901,"these",5.11
"364",1902,"these",5
"365",1903,"these",4.91
"366",1904,"these",4.95
"367",1905,"these",5.01
"368",1906,"these",4.96
"369",1907,"these",5.05
"370",1908,"these",5.05
"371",1909,"these",5.14
"372",1910,"these",5.12
"373",1911,"these",5.05
"374",1912,"these",5.16
"375",1913,"these",5.21
"376",1914,"these",5.24
"377",1915,"these",5.3
"378",1916,"these",5.25
"379",1917,"these",4.95
"380",1918,"these",4.96
"381",1919,"these",4.91
"382",1920,"these",5.02
"383",1921,"these",5.13
"384",1922,"these",5.16
"385",1923,"these",5.19
"386",1924,"these",5.16
"387",1925,"these",5.16
"388",1926,"these",5.28
"389",1927,"these",5.35
"390",1928,"these",5.36
"391",1929,"these",5.35
"392",1930,"these",5.29
"393",1931,"these",5.28
"394",1932,"these",5.3
"395",1933,"these",5.3
"396",1934,"these",5.32
"397",1935,"these",5.28
"398",1936,"these",5.23
"399",1937,"these",5.17
"400",1938,"these",5.1
"401",1939,"these",5.21
"402",1940,"these",5.42
"403",1941,"these",5.4
"404",1942,"these",5.25
"405",1943,"these",5.24
"406",1944,"these",5.28
"407",1945,"these",5.24
"408",1946,"these",5.24
"409",1947,"these",5.26
"410",1948,"these",5.28
"411",1949,"these",5.05
