"","Year","Collocate","MI Score"
"1",1734,"there",6.11
"2",1740,"i",3.43
"3",1741,"i",3.43
"4",1746,"these",4.2
"5",1747,"these",4.19
"6",1748,"these",4.35
"7",1748,"have",3.22
"8",1749,"these",4.51
"9",1749,"have",3.21
"10",1750,"these",4.5
"11",1750,"have",3.07
"12",1751,"these",4.5
"13",1751,"have",3.07
"14",1752,"these",4.56
"15",1753,"these",4.56
"16",1754,"these",4.63
"17",1755,"these",4.61
"18",1756,"these",4.18
"19",1757,"these",4.19
"20",1769,"these",4.18
"21",1770,"these",4.2
"22",1771,"these",4.24
"23",1772,"these",4.19
"24",1773,"these",4.28
"25",1774,"these",4.33
"26",1775,"these",4.38
"27",1776,"these",4.45
"28",1784,"these",4.46
"29",1785,"these",4.61
"30",1786,"these",4.45
"31",1787,"these",4.41
"32",1788,"these",4.41
"33",1789,"these",4.35
"34",1790,"these",4.22
"35",1790,"some",3.36
"36",1791,"these",4.22
"37",1791,"some",3.29
"38",1792,"these",4.17
"39",1792,"some",3.47
"40",1793,"these",3.84
"41",1793,"some",3.71
"42",1794,"these",3.79
"43",1794,"some",3.56
"44",1795,"these",3.64
"45",1795,"some",3.42
"46",1796,"prove",6.08
"47",1796,"new",4.52
"48",1796,"these",3.58
"49",1796,"some",3.48
"50",1797,"prove",6.06
"51",1797,"stated",5.98
"52",1797,"new",4.42
"53",1797,"many",3.83
"54",1797,"these",3.71
"55",1797,"some",3.47
"56",1798,"prove",6.07
"57",1798,"stated",5.87
"58",1798,"many",4.2
"59",1798,"new",4.19
"60",1798,"these",3.51
"61",1798,"some",3.26
"62",1798,"have",3.03
"63",1799,"prove",5.66
"64",1799,"stated",5.64
"65",1799,"new",4.51
"66",1799,"many",3.92
"67",1799,"these",3.51
"68",1799,"some",3.14
"69",1800,"prove",5.57
"70",1800,"stated",5.53
"71",1800,"new",4.22
"72",1800,"many",3.91
"73",1800,"these",3.63
"74",1801,"stated",5.41
"75",1801,"prove",5.38
"76",1801,"new",4.32
"77",1801,"many",3.82
"78",1801,"general",3.71
"79",1801,"number",3.59
"80",1801,"these",3.53
"81",1802,"stated",5.41
"82",1802,"prove",5.35
"83",1802,"new",4.38
"84",1802,"many",3.92
"85",1802,"general",3.71
"86",1802,"appear",3.65
"87",1802,"these",3.53
"88",1802,"number",3.49
"89",1803,"stated",5.51
"90",1803,"prove",5.47
"91",1803,"new",4.31
"92",1803,"many",3.98
"93",1803,"appear",3.86
"94",1803,"general",3.79
"95",1803,"these",3.68
"96",1803,"number",3.51
"97",1804,"prove",5.52
"98",1804,"stated",5.36
"99",1804,"chemical",4.21
"100",1804,"appear",4.12
"101",1804,"new",4.1
"102",1804,"preceding",4.06
"103",1804,"many",4.05
"104",1804,"general",4.05
"105",1804,"these",3.72
"106",1804,"number",3.31
"107",1805,"stated",5.7
"108",1805,"prove",5.31
"109",1805,"ascertained",4.66
"110",1805,"preceding",4.32
"111",1805,"chemical",4.15
"112",1805,"new",4.02
"113",1805,"many",3.77
"114",1805,"general",3.77
"115",1805,"appear",3.75
"116",1805,"these",3.72
"117",1805,"number",3.3
"118",1806,"stated",5.61
"119",1806,"ascertained",5.02
"120",1806,"new",4.19
"121",1806,"chemical",4.16
"122",1806,"these",3.77
"123",1806,"general",3.74
"124",1806,"many",3.55
"125",1806,"number",3.36
"126",1807,"stated",5.36
"127",1807,"ascertained",5.02
"128",1807,"chemical",4.24
"129",1807,"new",4.22
"130",1807,"general",3.74
"131",1807,"many",3.71
"132",1807,"these",3.68
"133",1807,"number",3.35
"134",1808,"stated",5.77
"135",1808,"ascertained",5.14
"136",1808,"new",4.37
"137",1808,"these",3.85
"138",1808,"general",3.52
"139",1809,"stated",5.93
"140",1809,"few",4.8
"141",1809,"new",4.06
"142",1809,"these",3.95
"143",1809,"many",3.89
"144",1810,"stated",6.09
"145",1810,"many",4.17
"146",1810,"new",4.14
"147",1810,"these",4.01
"148",1811,"stated",6.18
"149",1811,"many",4.59
"150",1811,"new",4.09
"151",1811,"these",4.04
"152",1811,"some",3.13
"153",1812,"stated",6.26
"154",1812,"many",4.68
"155",1812,"these",4.12
"156",1812,"new",4.11
"157",1812,"some",3.31
"158",1813,"stated",6.15
"159",1813,"many",4.65
"160",1813,"new",4.13
"161",1813,"these",4
"162",1813,"some",3.22
"163",1814,"stated",6.09
"164",1814,"new",4.44
"165",1814,"many",4.32
"166",1814,"these",4
"167",1814,"some",3.17
"168",1815,"propriety",9.02
"169",1815,"certainty",7.8
"170",1815,"curious",6.58
"171",1815,"respecting",6.16
"172",1815,"stated",5.87
"173",1815,"many",4.73
"174",1815,"new",4.49
"175",1815,"these",3.98
"176",1815,"some",3.66
"177",1816,"propriety",9.23
"178",1816,"certainty",7.96
"179",1816,"curious",6.7
"180",1816,"respecting",6.21
"181",1816,"many",4.92
"182",1816,"new",4.6
"183",1816,"following",4.24
"184",1816,"these",3.79
"185",1816,"some",3.68
"186",1817,"propriety",9.24
"187",1817,"certainty",7.87
"188",1817,"curious",6.84
"189",1817,"respecting",6.35
"190",1817,"new",4.9
"191",1817,"many",4.8
"192",1817,"following",4.2
"193",1817,"these",4.04
"194",1817,"some",3.68
"195",1818,"propriety",9.18
"196",1818,"certainty",7.81
"197",1818,"curious",6.73
"198",1818,"respecting",6.35
"199",1818,"new",4.78
"200",1818,"many",4.76
"201",1818,"following",4.19
"202",1818,"these",3.94
"203",1818,"some",3.29
"204",1819,"propriety",9.44
"205",1819,"certainty",8.07
