No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,547,0.29,47,149,5.32
2,owing,693,0.37,48,166,5.01
3,that,32436,17.47,1125,228,4.01
4,due,2516,1.36,83,209,3.94
5,this,20973,11.30,168,228,1.89
6,they,5633,3.03,45,226,1.89
7,all,5951,3.21,42,228,1.71
8,in,90657,48.83,562,229,1.52
9,by,27867,15.01,164,228,1.45
10,there,6506,3.50,35,226,1.32
11,is,52318,28.18,244,229,1.11
12,from,21550,11.61,96,229,1.05
13,has,7989,4.30,35,227,1.02
14,to,67693,36.46,286,229,0.97
15,the,325426,175.28,1283,228,0.87
16,we,11787,6.35,43,223,0.76
17,have,11634,6.27,40,228,0.67
18,not,12988,7.00,44,228,0.65
19,as,27325,14.72,90,228,0.61
20,it,23684,12.76,77,227,0.59
21,are,23996,12.92,74,227,0.52
22,is,52318,28.18,153,229,0.44
23,which,23987,12.92,67,228,0.37
24,it,23684,12.76,66,227,0.37
25,be,26327,14.18,72,229,0.34
26,the,325426,175.28,867,228,0.31
27,with,23274,12.54,61,228,0.28
28,this,20973,11.30,51,228,0.17
29,was,19179,10.33,45,224,0.12
30,are,23996,12.92,55,227,0.09
31,a,75966,40.92,170,229,0.05
32,be,26327,14.18,58,229,0.03
33,for,22058,11.88,46,230,-0.05
34,in,90657,48.83,186,229,-0.07
35,and,80933,43.59,156,229,-0.16
36,for,22058,11.88,40,230,-0.25
37,with,23274,12.54,42,228,-0.26
38,to,67693,36.46,117,229,-0.32
39,a,75966,40.92,130,229,-0.33
40,at,21680,11.68,35,228,-0.42
41,as,27325,14.72,44,228,-0.42
42,of,178863,96.34,270,229,-0.51
43,of,178863,96.34,268,229,-0.52
44,and,80933,43.59,54,229,-1.69
