No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,7455,1.84,44,255,2.58
2,that,11526,2.84,54,252,2.25
3,in,24258,5.98,90,267,1.91
4,i,7604,1.87,19,257,1.34
5,is,13420,3.31,32,262,1.27
6,is,13420,3.31,32,262,1.27
7,be,10548,2.60,23,258,1.15
8,which,10632,2.62,19,255,0.86
9,it,11166,2.75,19,254,0.79
10,by,11341,2.79,17,266,0.60
11,which,10632,2.62,15,255,0.52
12,the,97053,23.91,136,272,0.51
13,with,7321,1.80,10,257,0.47
14,this,7455,1.84,10,255,0.44
15,a,22014,5.42,29,272,0.42
16,that,11526,2.84,14,252,0.30
17,it,11166,2.75,13,254,0.24
18,be,10548,2.60,12,258,0.21
19,to,24031,5.92,27,265,0.19
20,and,25792,6.35,28,270,0.14
21,a,22014,5.42,23,272,0.08
22,to,24031,5.92,23,265,-0.04
23,the,97053,23.91,92,272,-0.06
24,of,61917,15.26,56,270,-0.12
25,in,24258,5.98,21,267,-0.19
26,of,61917,15.26,39,270,-0.65
27,and,25792,6.35,16,270,-0.67
