No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,7323,1.64,47,246,2.84
2,that,11804,2.65,39,242,1.88
3,in,24302,5.45,77,258,1.82
4,i,7468,1.67,21,247,1.65
5,be,10672,2.39,23,249,1.26
6,is,13487,3.02,28,250,1.21
7,which,10831,2.43,18,244,0.89
8,by,11283,2.53,18,255,0.83
9,is,13487,3.02,20,250,0.73
10,a,22107,4.96,29,260,0.55
11,was,7882,1.77,10,236,0.50
12,which,10831,2.43,13,244,0.42
13,that,11804,2.65,14,242,0.40
14,to,24038,5.39,28,257,0.38
15,the,96386,21.61,109,260,0.33
16,and,27060,6.07,26,259,0.10
17,it,11683,2.62,11,244,0.07
18,it,11683,2.62,11,244,0.07
19,be,10672,2.39,10,249,0.06
20,to,24038,5.39,21,257,-0.04
21,of,62502,14.02,49,259,-0.19
22,a,22107,4.96,17,260,-0.22
23,the,96386,21.61,74,260,-0.22
24,in,24302,5.45,14,258,-0.64
25,of,62502,14.02,35,259,-0.68
26,and,27060,6.07,13,259,-0.90
