No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8644,1.34,32,228,2.58
2,is,13565,2.10,36,231,2.10
3,that,13236,2.05,35,233,2.09
4,in,25884,4.01,62,248,1.95
5,i,9049,1.40,16,230,1.51
6,is,13565,2.10,19,231,1.18
7,that,13236,2.05,15,233,0.87
8,a,24058,3.73,27,245,0.86
9,to,28352,4.40,28,245,0.67
10,it,13708,2.13,13,233,0.61
11,to,28352,4.40,25,245,0.51
12,a,24058,3.73,21,245,0.49
13,in,25884,4.01,17,248,0.08
14,the,109288,16.95,65,251,-0.06
15,the,109288,16.95,52,251,-0.38
16,and,29895,4.64,14,249,-0.41
17,of,62711,9.73,26,251,-0.58
18,of,62711,9.73,23,251,-0.76
