No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,19944,8.94,233,241,2.70
2,this,12126,5.44,128,238,2.56
3,in,54814,24.57,380,245,1.95
4,is,26024,11.67,125,241,1.42
5,is,26024,11.67,113,241,1.28
6,not,7812,3.50,29,236,1.05
7,when,5676,2.54,21,223,1.04
8,we,5944,2.66,21,195,0.98
9,may,6074,2.72,20,228,0.88
10,i,10405,4.66,34,232,0.87
11,but,7199,3.23,23,238,0.83
12,it,18212,8.16,55,239,0.75
13,from,14942,6.70,44,241,0.72
14,was,11591,5.20,32,229,0.62
15,by,20163,9.04,55,243,0.61
16,which,19717,8.84,53,241,0.58
17,by,20163,9.04,53,243,0.55
18,a,40111,17.98,101,242,0.49
19,the,212079,95.07,497,245,0.39
20,be,17996,8.07,42,240,0.38
21,it,18212,8.16,42,239,0.36
22,of,127676,57.24,279,245,0.29
23,i,10405,4.66,21,232,0.17
24,that,19944,8.94,39,241,0.13
25,for,10506,4.71,20,243,0.09
26,to,45780,20.52,85,243,0.05
27,be,17996,8.07,33,240,0.03
28,the,212079,95.07,388,245,0.03
29,a,40111,17.98,73,242,0.02
30,with,15942,7.15,28,242,-0.03
31,and,54543,24.45,95,245,-0.04
32,as,17886,8.02,31,239,-0.05
33,to,45780,20.52,79,243,-0.06
34,at,16390,7.35,27,240,-0.12
35,with,15942,7.15,26,242,-0.14
36,in,54814,24.57,82,245,-0.26
37,as,17886,8.02,25,239,-0.36
38,which,19717,8.84,27,241,-0.39
39,of,127676,57.24,124,245,-0.88
40,and,54543,24.45,35,245,-1.48
