No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,20762,9.16,546,150,3.90
2,view,1038,0.46,22,108,3.59
3,due,1440,0.64,28,140,3.46
4,in,55036,24.27,497,150,2.36
5,this,13537,5.97,99,150,2.05
6,from,15419,6.80,69,150,1.34
7,but,6868,3.03,26,148,1.10
8,was,8768,3.87,32,148,1.05
9,by,19187,8.46,70,150,1.05
10,is,37131,16.37,130,150,0.99
11,the,193115,85.16,644,150,0.92
12,not,8969,3.96,26,150,0.72
13,is,37131,16.37,100,150,0.61
14,are,16415,7.24,43,150,0.57
15,this,13537,5.97,35,150,0.55
16,be,18792,8.29,48,150,0.53
17,it,14537,6.41,36,150,0.49
18,for,17575,7.75,42,150,0.44
19,to,42407,18.70,98,150,0.39
20,the,193115,85.16,407,150,0.26
21,it,14537,6.41,30,150,0.23
22,in,55036,24.27,102,150,0.07
23,are,16415,7.24,30,150,0.05
24,for,17575,7.75,32,150,0.05
25,a,53097,23.42,96,150,0.04
26,be,18792,8.29,33,150,-0.01
27,with,15501,6.84,27,150,-0.02
28,that,20762,9.16,34,150,-0.11
29,and,58409,25.76,95,150,-0.12
30,by,19187,8.46,31,150,-0.13
31,to,42407,18.70,64,150,-0.23
32,of,109712,48.38,131,150,-0.56
33,of,109712,48.38,124,150,-0.64
34,a,53097,23.42,47,150,-0.99
35,and,58409,25.76,29,150,-1.83
