No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,fiction,92,0.04,19,19,9.05
2,undermined,41,0.02,6,35,8.55
3,stylized,36,0.01,5,26,8.48
4,arithmetical,48,0.02,6,10,8.33
5,fallacy,96,0.04,6,28,7.33
6,exacerbated,173,0.07,9,143,7.06
7,spite,316,0.12,15,214,6.93
8,underscore,133,0.05,6,60,6.86
9,despite,4144,1.61,169,1984,6.71
10,reflects,1237,0.48,45,805,6.55
11,complicated,932,0.36,33,549,6.51
12,justified,294,0.11,9,190,6.30
13,translates,213,0.08,6,177,6.18
14,virtue,250,0.10,6,144,5.95
15,motivated,968,0.38,23,576,5.93
16,due,11482,4.47,237,2578,5.73
17,emphasize,730,0.28,15,530,5.72
18,reflecting,765,0.30,15,526,5.65
19,remarkable,785,0.31,15,523,5.62
20,lie,1751,0.68,30,472,5.46
21,mere,364,0.14,6,239,5.40
22,explained,2506,0.98,41,1256,5.39
23,attributable,310,0.12,5,179,5.37
24,exploiting,508,0.20,8,321,5.34
25,attributed,1089,0.42,17,703,5.33
26,relies,909,0.35,12,632,5.08
27,accounting,885,0.34,11,546,5.00
28,arises,1068,0.42,13,653,4.97
29,owing,4501,1.75,52,1484,4.89
30,stem,3141,1.22,34,482,4.80
31,exploit,846,0.33,9,403,4.77
32,matter,5082,1.98,54,1120,4.77
33,refers,1026,0.40,10,631,4.65
34,semigroup,724,0.28,7,24,4.63
35,come,3863,1.50,37,1178,4.62
36,arithmetic,524,0.20,5,91,4.62
37,sheet,954,0.37,9,153,4.60
38,account,6382,2.48,60,1915,4.59
39,axiom,541,0.21,5,29,4.57
40,besides,716,0.28,6,395,4.43
41,reflected,1214,0.47,10,725,4.40
42,highlight,2621,1.02,20,1035,4.29
43,reflect,2461,0.96,17,1258,4.15
44,imply,869,0.34,6,587,4.15
45,advantage,3239,1.26,22,1101,4.13
46,contrary,757,0.29,5,363,4.08
47,something,1089,0.42,7,502,4.05
48,arise,1894,0.74,12,987,4.02
49,none,950,0.37,6,619,4.02
50,illustrates,963,0.37,6,640,4.00
51,quite,1950,0.76,12,1073,3.98
52,supported,4714,1.84,28,2384,3.93
53,subduction,1047,0.41,6,40,3.88
54,except,1733,0.67,9,977,3.74
55,proved,973,0.38,5,500,3.72
56,obvious,1256,0.49,6,776,3.62
57,proposition,1047,0.41,5,155,3.62
58,consistent,5936,2.31,28,1978,3.60
59,reflection,1295,0.50,6,340,3.57
60,follows,4422,1.72,20,1074,3.54
61,considering,2881,1.12,13,1478,3.53
62,precisely,1134,0.44,5,540,3.50
63,highlighted,1139,0.44,5,680,3.50
64,consists,1600,0.62,7,950,3.49
65,illustrated,1632,0.64,7,877,3.46
66,regardless,1191,0.46,5,735,3.43
67,express,1465,0.57,6,650,3.40
68,speaker,1256,0.49,5,98,3.35
69,majority,2051,0.80,8,1103,3.32
70,proof,3860,1.50,15,411,3.32
71,many,16987,6.61,66,3268,3.32
72,already,3667,1.43,14,1696,3.29
73,never,1329,0.52,5,814,3.27
74,noted,2452,0.95,9,1157,3.24
75,related,9568,3.72,35,2762,3.23
76,remark,1375,0.54,5,227,3.22
77,basic,3445,1.34,12,1517,3.16
78,implies,2011,0.78,7,978,3.16
79,sometimes,2013,0.78,7,1028,3.16
80,consequence,5812,2.26,20,920,3.14
81,express,1465,0.57,5,650,3.13
82,smooth,1795,0.70,6,462,3.10
83,observe,2099,0.82,7,971,3.10
84,abstract,3622,1.41,12,370,3.09
85,half,2150,0.84,7,1085,3.06
86,turn,3993,1.55,12,1210,2.95
87,argue,1692,0.66,5,801,2.92
88,know,2406,0.94,7,1028,2.90
89,exist,2782,1.08,8,1223,2.89
90,empirical,3898,1.52,11,1230,2.86
91,explanation,3204,1.25,9,905,2.85
92,eigenvalue,1788,0.70,5,157,2.84
93,explain,3604,1.40,10,1605,2.83
94,capture,3280,1.28,9,1105,2.82
95,largest,1829,0.71,5,904,2.81
96,interesting,2585,1.01,7,1336,2.80
97,rest,1932,0.75,5,798,2.73
98,assumption,5045,1.96,13,1105,2.73
99,established,2718,1.06,7,1288,2.73
100,actual,1959,0.76,5,956,2.71
101,scientific,4031,1.57,10,1251,2.67
102,nevertheless,2026,0.79,5,294,2.66
103,attention,4461,1.74,11,1328,2.66
104,true,3265,1.27,8,1291,2.65
105,based,17974,7.00,44,3366,2.65
106,even,13917,5.42,34,3139,2.65
107,connected,2461,0.96,6,973,2.65
108,agreement,2572,1.00,6,1061,2.58
109,causal,2583,1.01,6,544,2.58
110,characterized,3066,1.19,7,1423,2.55
111,much,9202,3.58,21,2797,2.55
112,people,5722,2.23,13,859,2.55
113,several,9813,3.82,22,2864,2.53
114,equivalent,2716,1.06,6,1144,2.50
115,isolation,2280,0.89,5,515,2.49
116,caused,2796,1.09,6,1346,2.46
117,physical,8450,3.29,18,2123,2.45
118,category,3290,1.28,7,405,2.45
119,interpretation,3309,1.29,7,1072,2.44
120,almost,2871,1.12,6,1543,2.42
121,allows,4331,1.69,9,1920,2.42
122,every,3417,1.33,7,1434,2.40
123,simple,6370,2.48,13,2065,2.39
124,combined,3591,1.40,7,1683,2.32
125,may,40749,15.86,79,3494,2.32
126,seems,2594,1.01,5,1238,2.31
127,classical,3667,1.43,7,972,2.29
128,principle,5243,2.04,10,826,2.29
129,divergence,2628,1.02,5,560,2.29
130,great,3172,1.23,6,1390,2.28
131,recent,9533,3.71,18,2828,2.28
132,monkey,3191,1.24,6,193,2.27
133,emotion,2694,1.05,5,219,2.25
134,definition,4340,1.69,8,1041,2.24
135,equivalent,2716,1.06,5,1144,2.24
136,suggested,3322,1.29,6,1592,2.21
137,reward,2847,1.11,5,266,2.17
138,necessary,4049,1.58,7,1805,2.15
139,ground,2950,1.15,5,756,2.12
140,often,10198,3.97,17,2622,2.10
141,combination,4809,1.87,8,1619,2.10
142,known,8447,3.29,14,2650,2.09
143,given,17515,6.82,29,3230,2.09
144,weak,3044,1.18,5,961,2.08
145,problem,14273,5.56,23,1670,2.05
146,others,5614,2.19,9,1459,2.04
147,theorem,4387,1.71,7,374,2.04
148,assumption,5045,1.96,8,1105,2.03
149,main,6322,2.46,10,2274,2.02
150,periodic,3166,1.23,5,609,2.02
151,real,3812,1.48,6,1298,2.02
152,mind,3196,1.24,5,612,2.01
153,good,4624,1.80,7,1694,1.96
154,always,3313,1.29,5,1649,1.95
155,map,5975,2.33,9,1032,1.95
156,coupled,3333,1.30,5,1171,1.95
157,hand,4701,1.83,7,525,1.94
158,though,4052,1.58,6,1527,1.93
159,latter,3386,1.32,5,1488,1.92
160,agent,5419,2.11,8,355,1.92
161,strongly,4068,1.58,6,1697,1.92
162,make,8829,3.44,13,2211,1.92
163,chimpanzee,4137,1.61,6,169,1.90
164,language,9658,3.76,14,827,1.90
165,view,6231,2.43,9,1606,1.89
166,effective,5539,2.16,8,1694,1.89
167,useful,3517,1.37,5,1671,1.87
168,practice,3523,1.37,5,658,1.87
169,light,8534,3.32,12,1806,1.85
170,mathematical,5005,1.95,7,1160,1.85
171,stress,10838,4.22,15,1182,1.83
172,limited,5784,2.25,8,2171,1.83
173,culture,5110,1.99,7,569,1.82
174,remains,4416,1.72,6,1969,1.80
175,consistent,5936,2.31,8,1978,1.79
176,owing,4501,1.75,6,1484,1.78
177,obtain,3834,1.49,5,1418,1.74
178,demonstrated,3840,1.49,5,1656,1.74
179,pair,5379,2.09,7,848,1.74
180,fundamental,3847,1.50,5,1503,1.74
181,use,22430,8.73,29,3360,1.73
182,recognition,3872,1.51,5,710,1.73
183,according,4686,1.82,6,1839,1.72
184,close,4759,1.85,6,1920,1.70
185,simple,6370,2.48,8,2065,1.69
186,least,6384,2.49,8,2368,1.69
187,together,5613,2.19,7,1917,1.68
188,occurs,4027,1.57,5,1634,1.67
189,scientific,4031,1.57,5,1251,1.67
190,small,13731,5.35,17,3003,1.67
191,representation,6473,2.52,8,1071,1.67
192,clear,4890,1.90,6,2037,1.66
193,fusion,4082,1.59,5,353,1.65
194,possible,12325,4.80,15,3021,1.64
195,typically,4948,1.93,6,1799,1.64
196,despite,4144,1.61,5,1984,1.63
197,become,5022,1.95,6,2210,1.62
