https://example.com/collocation-analysis
There are 2933537 different words in your collocation database for "fact". (Your query returned 4782 matches in 277 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	that	25173	10.26	375	268	3.19
2	in	73026	29.77	614	277	2.37
3	this	16850	6.87	129	267	2.23
4	if	5710	2.33	31	244	1.74
5	only	4482	1.83	21	250	1.52
6	being	5397	2.20	23	265	1.39
7	is	42833	17.46	173	270	1.31
8	from	19016	7.75	72	276	1.22
9	has	6266	2.55	21	262	1.04
10	not	9892	4.03	33	262	1.03
11	may	7192	2.93	22	257	0.91
12	we	10198	4.16	31	250	0.90
13	be	23086	9.41	66	274	0.81
14	is	42833	17.46	118	270	0.76
15	but	10148	4.14	26	266	0.65
16	these	8266	3.37	21	258	0.64
17	it	23033	9.39	58	269	0.63
18	by	27390	11.17	68	276	0.61
19	for	15327	6.25	38	274	0.60
20	we	10198	4.16	23	250	0.47
21	are	18143	7.40	39	268	0.40
22	the	289642	118.09	615	277	0.38
23	which	24942	10.17	50	272	0.30
24	it	23033	9.39	46	269	0.29
25	the	289642	118.09	572	277	0.28
26	have	10814	4.41	21	268	0.25
27	was	12728	5.19	24	257	0.21
28	this	16850	6.87	30	267	0.13
29	as	23608	9.62	42	273	0.13
30	was	12728	5.19	22	257	0.08
31	by	27390	11.17	46	276	0.04
32	to	57233	23.33	96	273	0.04
33	a	60167	24.53	97	276	-0.02
34	to	57233	23.33	92	273	-0.02
35	a	60167	24.53	96	276	-0.03
36	in	73026	29.77	114	277	-0.06
37	as	23608	9.62	36	273	-0.10
38	that	25173	10.26	37	268	-0.15
39	of	175824	71.68	251	276	-0.19
40	from	19016	7.75	27	276	-0.20
41	on	19675	8.02	27	276	-0.25
42	for	15327	6.25	21	274	-0.25
43	which	24942	10.17	34	272	-0.26
44	be	23086	9.41	31	274	-0.28
45	and	76181	31.06	99	276	-0.33
46	with	22157	9.03	25	273	-0.53
47	with	22157	9.03	24	273	-0.59
48	of	175824	71.68	147	276	-0.96
49	and	76181	31.06	58	276	-1.10
