https://example.com/collocation-analysis
There are 2796824 different words in your collocation database for "fact". (Your query returned 4552 matches in 244 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	that	23241	9.40	399	238	3.41
2	in	71871	29.06	531	244	2.19
3	this	16449	6.65	116	237	2.12
4	only	4336	1.75	24	225	1.77
5	if	4677	1.89	25	215	1.72
6	being	5124	2.07	24	237	1.53
7	is	41733	16.88	161	240	1.25
8	from	18577	7.51	62	243	1.04
9	these	8252	3.34	27	231	1.02
10	we	8633	3.49	28	221	1.00
11	been	6190	2.50	20	231	1.00
12	we	8633	3.49	26	221	0.90
13	not	9485	3.84	28	231	0.87
14	be	19203	7.77	56	242	0.85
15	by	25591	10.35	70	243	0.76
16	have	10365	4.19	28	238	0.74
17	was	13058	5.28	32	232	0.60
18	it	21398	8.65	52	239	0.59
19	is	41733	16.88	94	240	0.48
20	but	10005	4.05	22	236	0.44
21	the	282634	114.29	618	244	0.43
22	for	12862	5.20	28	241	0.43
23	to	53765	21.74	115	242	0.40
24	be	19203	7.77	38	242	0.29
25	it	21398	8.65	41	239	0.24
26	the	282634	114.29	532	244	0.22
27	are	16608	6.72	31	238	0.21
28	as	22806	9.22	41	242	0.15
29	in	71871	29.06	126	244	0.12
30	for	12862	5.20	22	241	0.08
31	to	53765	21.74	91	242	0.07
32	was	13058	5.28	22	232	0.06
33	as	22806	9.22	38	242	0.04
34	a	57077	23.08	95	244	0.04
35	by	25591	10.35	42	243	0.02
36	on	18612	7.53	30	243	-0.01
37	a	57077	23.08	91	244	-0.02
38	at	15976	6.46	25	240	-0.05
39	with	21259	8.60	33	242	-0.06
40	which	23268	9.41	36	239	-0.06
41	and	72783	29.43	107	243	-0.14
42	this	16449	6.65	24	237	-0.15
43	from	18577	7.51	26	243	-0.21
44	that	23241	9.40	32	238	-0.23
45	of	167252	67.63	228	243	-0.25
46	which	23268	9.41	27	239	-0.48
47	of	167252	67.63	137	243	-0.98
48	and	72783	29.43	51	243	-1.21
