https://example.com/collocation-analysis
There are 3292142 different words in your collocation database for "fact". (Your query returned 6765 matches in 268 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	that	30547	14.96	699	260	3.55
2	due	1775	0.87	40	178	3.52
3	this	21344	10.45	182	266	2.12
4	in	83395	40.83	592	268	1.86
5	only	6011	2.94	31	250	1.40
6	by	26467	12.96	130	266	1.33
7	all	6109	2.99	29	252	1.28
8	is	50803	24.88	228	267	1.20
9	if	5555	2.72	24	222	1.14
10	from	20606	10.09	87	266	1.11
11	when	6635	3.25	28	239	1.11
12	they	6911	3.38	28	254	1.05
13	no	6344	3.11	25	245	1.01
14	there	6382	3.12	24	244	0.94
15	these	10179	4.98	38	252	0.93
16	has	7643	3.74	27	250	0.85
17	to	66880	32.75	214	268	0.71
18	the	328774	160.98	988	268	0.62
19	we	12786	6.26	38	217	0.60
20	we	12786	6.26	36	217	0.52
21	it	24679	12.08	68	265	0.49
22	was	17088	8.37	47	258	0.49
23	is	50803	24.88	139	267	0.48
24	but	13099	6.41	35	261	0.45
25	be	22761	11.14	60	265	0.43
26	not	11789	5.77	30	259	0.38
27	have	12703	6.22	32	258	0.36
28	it	24679	12.08	62	265	0.36
29	in	83395	40.83	206	268	0.33
30	have	12703	6.22	31	258	0.32
31	i	11534	5.65	28	245	0.31
32	not	11789	5.77	28	259	0.28
33	an	9728	4.76	23	260	0.27
34	which	24849	12.17	57	267	0.23
35	its	10489	5.14	24	248	0.22
36	for	15140	7.41	34	251	0.20
37	a	65539	32.09	140	267	0.13
38	as	28185	13.80	60	265	0.12
39	are	22673	11.10	47	265	0.08
40	the	328774	160.98	680	268	0.08
41	this	21344	10.45	44	266	0.07
42	was	17088	8.37	35	258	0.06
43	as	28185	13.80	56	265	0.02
44	be	22761	11.14	44	265	-0.02
45	by	26467	12.96	50	266	-0.05
46	a	65539	32.09	123	267	-0.06
47	to	66880	32.75	124	268	-0.08
48	with	25223	12.35	45	264	-0.13
49	of	182714	89.47	324	268	-0.14
50	which	24849	12.17	42	267	-0.21
51	and	85256	41.75	137	267	-0.29
52	are	22673	11.10	35	265	-0.34
53	at	18401	9.01	28	262	-0.36
54	with	25223	12.35	34	264	-0.54
55	on	25684	12.58	30	267	-0.75
56	that	30547	14.96	35	260	-0.77
57	on	25684	12.58	27	267	-0.90
58	of	182714	89.47	183	268	-0.97
59	and	85256	41.75	50	267	-1.74
