No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,eleyated,4,0.00,2,3,9.23
2,propriety,7,0.01,3,7,9.01
3,ignorance,9,0.01,2,7,8.06
4,remarking,9,0.01,2,7,8.06
5,confirmation,13,0.01,2,9,7.53
6,pointing,14,0.01,2,13,7.42
7,harmony,25,0.02,3,13,7.17
8,anatomical,18,0.02,2,8,7.06
9,accounted,34,0.03,3,17,6.73
10,western,25,0.02,2,8,6.58
11,arose,27,0.02,2,14,6.47
12,accordance,58,0.05,4,34,6.37
13,certainty,58,0.05,4,21,6.37
14,establish,31,0.03,2,21,6.27
15,assuming,52,0.04,3,29,6.11
16,80me,38,0.03,2,28,5.98
17,—a,38,0.03,2,5,5.98
18,isolated,40,0.03,2,19,5.91
19,established,86,0.07,4,37,5.80
20,recognized,65,0.05,3,35,5.79
