No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,11,0.01,4,10,8.74
2,adduce,6,0.01,2,3,8.62
3,inconsistent,7,0.01,2,5,8.40
4,stating,11,0.01,3,9,8.33
5,adduced,20,0.02,5,8,8.20
6,certainty,22,0.02,4,15,7.74
7,supported,19,0.02,2,14,6.96
8,important,54,0.05,5,32,6.77
9,curious,34,0.03,3,16,6.70
10,advanced,23,0.02,2,11,6.68
11,anatomical,24,0.02,2,8,6.62
12,relating,24,0.02,2,13,6.62
13,detailed,29,0.02,2,9,6.35
14,related,30,0.03,2,10,6.30
15,possession,30,0.03,2,15,6.30
16,established,45,0.04,3,20,6.30
17,These,180,0.15,9,66,5.88
18,statement,40,0.03,2,15,5.88
19,prove,106,0.09,5,41,5.80
20,stated,110,0.09,5,32,5.74
