No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,Thave,17,0.00,2,15,9.03
2,conſideration,37,0.01,2,16,7.91
3,extraordinary,57,0.01,3,33,7.87
4,numerous,41,0.01,2,19,7.76
5,aſcertained,43,0.01,2,15,7.70
6,truth,124,0.03,2,35,6.17
7,appear,209,0.05,2,75,5.41
8,new,330,0.07,3,85,5.34
9,following,346,0.08,3,113,5.27
10,Theſe,236,0.05,2,97,5.24
11,appears,292,0.07,2,69,4.93
12,ſeems,302,0.07,2,96,4.88
13,though,528,0.12,2,134,4.08
14,well,538,0.12,2,143,4.05
15,ſhould,571,0.13,2,125,3.96
16,In,895,0.20,3,162,3.90
17,muſt,640,0.14,2,126,3.80
18,theſe,1420,0.32,4,176,3.65
19,body,718,0.16,2,71,3.63
20,This,821,0.18,2,161,3.44
