No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,3,0.00,2,3,9.87
2,spite,13,0.01,3,9,8.34
3,ascribed,11,0.01,2,6,8.00
4,Still,13,0.01,2,9,7.76
5,borne,13,0.01,2,8,7.76
6,certainty,13,0.01,2,7,7.76
7,arises,41,0.03,4,11,7.10
8,accounted,36,0.03,3,20,6.87
9,discovered,26,0.02,2,12,6.76
10,dealing,42,0.03,3,17,6.65
11,attention,54,0.04,3,20,6.29
12,mere,60,0.04,3,15,6.14
13,due,348,0.25,15,31,5.92
14,considering,55,0.04,2,16,5.68
15,known,167,0.12,5,31,5.40
16,account,137,0.10,4,27,5.36
17,owing,69,0.05,2,24,5.35
18,remarkable,143,0.10,4,21,5.30
19,evidence,72,0.05,2,23,5.29
20,matter,223,0.16,6,28,5.24
