No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,countenanced,2,0.00,2,2,10.16
2,propriety,5,0.00,2,5,8.84
3,strengthened,6,0.01,2,5,8.58
4,explaining,7,0.01,2,5,8.35
5,assured,10,0.01,2,6,7.84
6,electrical,14,0.01,2,7,7.35
7,curious,64,0.06,7,31,6.97
8,noted,34,0.03,3,16,6.66
9,fundamental,23,0.02,2,10,6.64
10,establish,35,0.03,3,27,6.62
11,prof,25,0.02,2,0,6.52
12,certainty,26,0.02,2,13,6.46
13,detailed,39,0.03,3,17,6.46
14,physiological,27,0.02,2,17,6.41
15,consistent,28,0.02,2,15,6.35
16,elementary,31,0.03,2,17,6.21
17,related,32,0.03,2,13,6.16
18,important,145,0.13,8,47,5.98
19,argument,37,0.03,2,10,5.95
20,confirmed,37,0.03,2,18,5.95
