No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,8ince,12,0.01,2,8,7.42
2,adduced,24,0.02,4,9,7.42
3,propriety,12,0.01,2,9,7.42
4,curious,74,0.07,12,30,7.39
5,relate,16,0.02,2,10,7.01
6,decisive,17,0.02,2,11,6.92
7,past,17,0.02,2,7,6.92
8,establish,42,0.04,4,23,6.62
9,well-known,32,0.03,3,21,6.59
10,interesting,139,0.13,13,50,6.59
11,help,23,0.02,2,13,6.49
12,geological,23,0.02,2,5,6.49
13,adduced,24,0.02,2,9,6.42
14,certainty,26,0.03,2,13,6.31
15,recorded,56,0.05,4,18,6.20
16,supported,34,0.03,2,19,5.92
17,regarding,35,0.03,2,20,5.88
18,inferred,53,0.05,3,28,5.87
19,established,76,0.07,4,31,5.76
20,—a,39,0.04,2,6,5.72
