No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,14,0.01,5,12,8.42
2,curious,70,0.07,10,29,7.10
3,certainty,63,0.07,5,27,6.25
4,interesting,187,0.19,10,71,5.68
5,attention,181,0.19,9,67,5.58
6,express,147,0.15,6,50,5.29
7,established,126,0.13,5,47,5.25
8,probable,240,0.25,9,66,5.17
9,important,270,0.28,9,82,5.00
10,explanation,181,0.19,6,64,4.99
