No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,416,0.09,15,127,5.44
2,many,910,0.19,14,189,4.21
3,these,4689,0.98,61,268,3.97
4,have,6601,1.37,40,284,2.86
5,been,4340,0.90,19,282,2.40
6,all,3128,0.65,13,256,2.32
7,from,11544,2.40,46,294,2.26
8,i,10551,2.19,38,289,2.11
9,are,8396,1.75,30,296,2.10
10,which,15517,3.23,51,286,1.98
11,that,16577,3.45,42,287,1.61
12,by,16568,3.45,28,308,1.02
13,this,10188,2.12,15,285,0.82
14,as,13045,2.71,18,293,0.73
15,to,37965,7.90,52,307,0.72
16,in,40108,8.34,54,309,0.69
17,with,12657,2.63,17,302,0.69
18,of,96518,20.08,128,309,0.67
19,the,166273,34.59,214,309,0.63
20,with,12657,2.63,15,302,0.51
21,on,11890,2.47,14,306,0.50
22,by,16568,3.45,17,308,0.30
23,and,44896,9.34,41,308,0.13
24,it,15594,3.24,14,286,0.11
25,be,14836,3.09,13,290,0.07
26,to,37965,7.90,30,307,-0.07
27,that,16577,3.45,13,287,-0.09
28,the,166273,34.59,108,309,-0.36
29,a,34592,7.20,19,306,-0.60
30,and,44896,9.34,23,308,-0.70
31,of,96518,20.08,45,309,-0.84
32,in,40108,8.34,13,309,-1.36
