No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,7691,1.13,63,203,3.80
2,all,4560,0.67,24,200,3.16
3,have,9893,1.45,23,210,1.98
4,which,20043,2.95,42,210,1.83
5,i,9603,1.41,19,203,1.75
6,with,18553,2.73,30,213,1.46
7,be,17216,2.53,24,214,1.24
8,are,15210,2.24,20,210,1.16
9,to,50997,7.50,67,213,1.16
10,that,22164,3.26,29,209,1.15
11,as,20640,3.04,25,213,1.04
12,by,21057,3.10,23,214,0.89
13,with,18553,2.73,20,213,0.87
14,to,50997,7.50,49,213,0.71
15,the,253090,37.22,238,215,0.68
16,it,19313,2.84,18,210,0.66
17,by,21057,3.10,19,214,0.62
18,in,63812,9.38,52,215,0.47
19,of,146543,21.55,101,214,0.23
20,and,62519,9.19,37,214,0.01
21,the,253090,37.22,112,215,-0.41
22,and,62519,9.19,25,214,-0.56
23,of,146543,21.55,55,214,-0.65
