No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,11803,1.65,98,267,3.90
2,have,15277,2.13,38,268,2.16
3,which,32699,4.56,58,268,1.67
4,are,27740,3.87,49,267,1.66
5,that,43039,6.00,65,268,1.44
6,from,27048,3.77,38,268,1.33
7,with,32346,4.51,44,269,1.29
8,to,89842,12.53,114,269,1.19
9,it,33137,4.62,40,268,1.11
10,as,38265,5.34,40,268,0.91
11,be,36430,5.08,37,268,0.86
12,the,443962,61.94,426,269,0.78
13,to,89842,12.53,76,269,0.60
14,in,109561,15.29,81,269,0.41
15,of,251482,35.09,170,270,0.28
16,and,106370,14.84,55,270,-0.11
17,the,443962,61.94,194,269,-0.35
18,of,251482,35.09,105,270,-0.42
19,and,106370,14.84,35,270,-0.76
