No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,10943,1.50,90,261,3.91
2,have,14630,2.00,38,264,2.25
3,are,26025,3.56,52,263,1.87
4,which,31353,4.29,58,264,1.76
5,that,40088,5.48,56,264,1.35
6,with,29784,4.08,41,264,1.33
7,to,83176,11.38,102,266,1.16
8,it,31163,4.26,34,264,1.00
9,be,33255,4.55,32,264,0.81
10,the,410877,56.22,387,266,0.78
11,as,35759,4.89,30,264,0.62
12,in,99584,13.63,75,266,0.46
13,to,83176,11.38,59,266,0.37
14,of,228248,31.23,153,267,0.29
15,and,98953,13.54,50,267,-0.12
16,of,228248,31.23,104,267,-0.26
17,the,410877,56.22,173,266,-0.38
18,and,98953,13.54,36,267,-0.59
19,in,99584,13.63,30,266,-0.86
