No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,related,85,0.02,7,28,6.24
2,stated,258,0.07,12,64,5.41
3,prove,202,0.06,9,68,5.35
4,new,706,0.19,16,132,4.38
5,preceding,411,0.11,7,99,3.96
6,many,789,0.22,13,156,3.92
7,general,632,0.17,9,126,3.71
8,appear,583,0.16,8,151,3.65
9,these,3007,0.82,38,183,3.53
10,number,652,0.18,8,133,3.49
11,series,782,0.21,7,69,3.04
12,me,818,0.22,7,151,2.97
13,been,3722,1.01,27,200,2.73
14,some,2188,0.60,15,189,2.65
15,have,5533,1.51,37,200,2.62
16,other,2630,0.72,13,192,2.18
17,are,4991,1.36,24,198,2.14
18,all,1896,0.52,8,178,1.95
19,which,11882,3.24,48,203,1.89
20,they,2396,0.65,9,187,1.78
21,that,12799,3.49,45,204,1.69
22,from,7673,2.09,24,205,1.52
23,i,8000,2.18,24,205,1.46
24,to,24505,6.68,53,214,0.99
25,not,5341,1.46,11,195,0.92
26,by,11441,3.12,23,215,0.88
27,or,4754,1.30,9,203,0.80
28,with,8546,2.33,16,204,0.78
29,the,93740,25.56,159,222,0.64
30,but,5011,1.37,8,201,0.55
31,this,7612,2.08,12,204,0.53
32,as,8283,2.26,13,206,0.52
33,to,24505,6.68,38,214,0.51
34,in,24502,6.68,37,217,0.47
35,have,5533,1.51,8,200,0.41
36,with,8546,2.33,12,204,0.36
37,are,4991,1.36,7,198,0.36
38,of,64682,17.64,88,223,0.32
39,and,27411,7.47,36,219,0.27
40,as,8283,2.26,10,206,0.15
41,it,12481,3.40,15,209,0.14
42,be,10896,2.97,12,208,0.01
43,on,6624,1.81,7,217,-0.05
44,by,11441,3.12,12,215,-0.06
45,be,10896,2.97,11,208,-0.11
46,a,21916,5.98,21,222,-0.19
47,and,27411,7.47,24,219,-0.32
48,the,93740,25.56,77,222,-0.41
49,of,64682,17.64,43,223,-0.71
50,is,12641,3.45,8,212,-0.79
51,that,12799,3.49,8,204,-0.80
52,a,21916,5.98,8,222,-1.58
53,in,24502,6.68,8,217,-1.74
