No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,100,0.02,14,33,7.25
2,these,5103,1.17,50,189,3.42
3,observed,1520,0.35,11,139,2.98
4,some,2358,0.54,17,185,2.97
5,now,1706,0.39,12,176,2.94
6,i,8763,2.01,38,198,2.24
7,have,6584,1.51,25,196,2.05
8,which,14970,3.43,48,205,1.81
9,but,5388,1.24,14,197,1.50
10,from,10987,2.52,28,201,1.47
11,are,8017,1.84,20,208,1.44
12,that,15642,3.59,33,199,1.20
13,not,6113,1.40,12,199,1.10
14,it,14074,3.23,27,206,1.06
15,be,12917,2.96,23,209,0.96
16,to,34867,7.99,61,213,0.93
17,in,41078,9.42,69,214,0.87
18,this,9669,2.22,16,200,0.85
19,with,12348,2.83,20,211,0.82
20,with,12348,2.83,20,211,0.82
21,or,8055,1.85,12,203,0.70
22,the,154417,35.40,217,214,0.62
23,are,8017,1.84,11,208,0.58
24,by,17672,4.05,22,213,0.44
25,and,38761,8.89,47,214,0.40
26,of,89637,20.55,101,214,0.30
27,on,11885,2.72,13,212,0.25
28,to,34867,7.99,38,213,0.25
29,as,13514,3.10,14,211,0.18
30,by,17672,4.05,15,213,-0.11
31,that,15642,3.59,12,199,-0.26
32,a,29268,6.71,21,213,-0.35
33,the,154417,35.40,106,214,-0.42
34,and,38761,8.89,26,214,-0.45
35,in,41078,9.42,27,214,-0.48
36,of,89637,20.55,44,214,-0.90
37,a,29268,6.71,14,213,-0.94
