No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1713,0.88,81,217,5.53
2,that,48454,24.88,1363,323,4.78
3,they,7888,4.05,68,319,3.07
4,in,124484,63.91,736,325,2.53
5,this,30530,15.67,170,323,2.44
6,by,44529,22.86,180,326,1.98
7,from,30600,15.71,120,324,1.93
8,we,20435,10.49,73,308,1.80
9,the,497373,255.34,1475,324,1.53
10,it,36761,18.87,108,324,1.52
11,to,102817,52.78,230,324,1.12
12,which,36350,18.66,76,323,1.03
13,is,78366,40.23,138,325,0.78
14,is,78366,40.23,133,325,0.73
15,the,497373,255.34,790,324,0.63
16,in,124484,63.91,143,325,0.16
17,a,118331,60.75,127,326,0.06
18,a,118331,60.75,117,326,-0.05
19,of,283570,145.58,245,326,-0.25
20,and,121183,62.21,88,326,-0.50
21,to,102817,52.78,62,324,-0.77
22,of,283570,145.58,90,326,-1.69
