No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1670,0.80,59,166,5.21
2,that,40785,19.53,1033,266,4.73
3,in,103998,49.79,568,267,2.51
4,this,25315,12.12,127,266,2.39
5,by,36079,17.27,168,267,2.28
6,we,15780,7.56,52,248,1.78
7,it,31928,15.29,91,266,1.57
8,from,25540,12.23,71,266,1.54
9,the,421976,202.04,1135,267,1.49
10,to,84940,40.67,206,267,1.34
11,is,66942,32.05,117,267,0.87
12,the,421976,202.04,643,267,0.67
13,is,66942,32.05,92,267,0.52
14,in,103998,49.79,125,267,0.33
15,a,94390,45.19,82,267,-0.14
16,a,94390,45.19,79,267,-0.19
17,and,102108,48.89,81,268,-0.27
18,of,235353,112.69,180,268,-0.32
19,to,84940,40.67,53,267,-0.62
20,of,235353,112.69,83,268,-1.44
