No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,625,0.35,47,139,6.07
2,that,28215,15.81,939,190,4.89
3,they,4776,2.68,40,188,2.90
4,there,5777,3.24,34,188,2.39
5,in,79290,44.42,465,190,2.39
6,this,18806,10.54,108,190,2.36
7,by,24405,13.67,131,190,2.26
8,it,21670,12.14,82,190,1.76
9,from,18946,10.61,67,190,1.66
10,the,289645,162.27,954,190,1.56
11,to,58649,32.86,189,190,1.52
12,which,19929,11.16,40,189,0.84
13,the,289645,162.27,567,190,0.80
14,is,49994,28.01,87,190,0.64
15,with,19812,11.10,31,189,0.48
16,for,19305,10.82,30,190,0.47
17,this,18806,10.54,29,190,0.46
18,is,49994,28.01,75,190,0.42
19,in,79290,44.42,101,190,0.19
20,a,67293,37.70,84,190,0.16
21,as,24170,13.54,30,190,0.15
22,and,70911,39.73,75,190,-0.08
23,of,155479,87.10,143,190,-0.28
24,a,67293,37.70,56,190,-0.43
25,to,58649,32.86,39,190,-0.75
26,of,155479,87.10,44,190,-1.99
