No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1337,0.62,36,135,4.86
2,that,28888,13.41,713,217,4.73
3,in,74483,34.57,372,220,2.43
4,by,25848,12.00,120,220,2.32
5,this,19423,9.01,90,218,2.32
6,from,17653,8.19,64,218,1.97
7,it,22510,10.45,72,217,1.78
8,we,11426,5.30,34,198,1.68
9,to,60506,28.08,163,219,1.54
10,the,299695,139.09,786,220,1.50
11,is,47656,22.12,82,219,0.89
12,the,299695,139.09,431,220,0.63
13,which,22042,10.23,29,218,0.50
14,in,74483,34.57,97,220,0.49
15,is,47656,22.12,61,219,0.46
16,a,64555,29.96,56,219,-0.10
17,a,64555,29.96,49,219,-0.29
18,to,60506,28.08,42,219,-0.42
19,of,162257,75.30,112,221,-0.43
20,and,75135,34.87,48,221,-0.54
21,of,162257,75.30,64,221,-1.23
