No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,27834,12.48,706,198,4.82
2,in,75742,33.95,582,198,3.10
3,from,20529,9.20,83,198,2.17
4,this,18687,8.38,63,198,1.91
5,by,26927,12.07,86,198,1.83
6,the,266519,119.48,702,198,1.55
7,was,12308,5.52,30,195,1.44
8,it,20198,9.05,49,198,1.44
9,is,51553,23.11,97,198,1.07
10,to,57252,25.67,90,198,0.81
11,for,24689,11.07,36,197,0.70
12,the,266519,119.48,388,198,0.70
13,are,22957,10.29,30,198,0.54
14,is,51553,23.11,55,198,0.25
15,in,75742,33.95,77,198,0.18
16,and,77594,34.78,71,198,0.03
17,a,71956,32.26,64,198,-0.01
18,of,152756,68.48,96,198,-0.51
19,a,71956,32.26,30,198,-1.10
