No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,27150,12.76,545,251,4.42
2,in,74642,35.09,461,258,2.72
3,this,19095,8.98,115,257,2.68
4,by,23565,11.08,98,257,2.14
5,from,18975,8.92,71,257,1.99
6,the,291851,137.21,668,258,1.28
7,is,45258,21.28,101,258,1.25
8,it,22134,10.41,46,256,1.14
9,to,59852,28.14,107,258,0.93
10,are,19654,9.24,33,256,0.84
11,in,74642,35.09,106,258,0.59
12,is,45258,21.28,64,258,0.59
13,which,22137,10.41,30,258,0.53
14,with,22025,10.36,29,255,0.49
15,the,291851,137.21,363,258,0.40
16,a,58336,27.43,71,258,0.37
17,a,58336,27.43,56,258,0.03
18,to,59852,28.14,43,258,-0.39
19,and,73966,34.78,51,258,-0.45
20,of,163077,76.67,112,258,-0.45
21,of,163077,76.67,73,258,-1.07
