No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,experimental,698,0.07,17,97,5.95
2,following,1539,0.15,15,175,4.62
3,these,7706,0.76,56,182,4.20
4,may,6465,0.64,19,181,2.90
5,have,9807,0.97,18,182,2.22
6,which,18722,1.85,26,182,1.81
7,that,25973,2.56,35,182,1.77
8,from,17864,1.76,21,182,1.57
9,be,21725,2.15,24,182,1.48
10,are,19726,1.95,21,182,1.43
11,by,22275,2.20,17,182,0.95
12,with,18482,1.83,14,182,0.94
13,to,55564,5.49,42,182,0.94
14,the,265108,26.18,181,182,0.79
15,it,19470,1.92,13,182,0.76
16,on,19990,1.97,13,182,0.72
17,in,73704,7.28,39,182,0.42
18,of,143796,14.20,72,182,0.34
19,to,55564,5.49,26,182,0.24
20,the,265108,26.18,85,182,-0.30
21,a,61900,6.11,19,182,-0.36
22,of,143796,14.20,35,182,-0.70
23,and,65873,6.51,14,182,-0.89
