No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,24,0.00,6,22,8.48
2,certainty,49,0.01,6,24,7.45
3,stated,181,0.03,9,66,6.15
4,explain,119,0.02,5,64,5.90
5,ascertained,267,0.05,6,95,5.00
6,many,625,0.11,11,198,4.65
7,few,390,0.07,5,169,4.19
8,new,814,0.14,10,143,4.13
9,these,2755,0.48,31,262,4.00
10,following,812,0.14,6,194,3.40
11,however,697,0.12,5,100,3.35
12,observed,714,0.13,5,145,3.32
13,some,1688,0.30,11,259,3.22
14,have,4990,0.88,23,280,2.72
15,been,3048,0.53,13,275,2.60
16,which,10296,1.81,39,283,2.43
17,all,1980,0.35,6,241,2.11
18,other,2400,0.42,6,259,1.83
19,or,4753,0.83,11,279,1.72
20,from,7346,1.29,17,286,1.72
21,that,11207,1.97,24,278,1.61
22,were,2896,0.51,6,252,1.56
23,we,3271,0.57,6,196,1.39
24,are,5018,0.88,9,268,1.35
25,i,7142,1.25,12,284,1.26
26,are,5018,0.88,7,268,0.99
27,to,24188,4.24,31,288,0.87
28,not,4268,0.75,5,270,0.74
29,with,7370,1.29,8,283,0.63
30,the,100036,17.55,101,299,0.52
31,as,8013,1.41,8,281,0.51
32,that,11207,1.97,11,278,0.48
33,be,10211,1.79,10,283,0.48
34,of,62890,11.03,60,296,0.44
35,with,7370,1.29,7,283,0.44
36,this,7386,1.30,7,282,0.43
37,it,11054,1.94,10,279,0.37
38,for,5649,0.99,5,290,0.34
39,by,11144,1.95,9,295,0.20
40,in,24382,4.28,19,295,0.15
41,to,24188,4.24,15,288,-0.18
42,and,26481,4.65,16,298,-0.22
43,and,26481,4.65,16,298,-0.22
44,a,22181,3.89,13,300,-0.26
45,the,100036,17.55,53,299,-0.41
46,which,10296,1.81,5,283,-0.53
47,by,11144,1.95,5,295,-0.65
48,of,62890,11.03,28,296,-0.66
49,is,13005,2.28,5,288,-0.87
50,a,22181,3.89,8,300,-0.96
51,in,24382,4.28,8,295,-1.10
