No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8789,0.86,68,194,4.30
2,that,27289,2.68,53,196,2.30
3,are,23142,2.28,34,196,1.90
4,with,22489,2.21,30,196,1.76
5,it,20698,2.04,24,196,1.56
6,from,20697,2.04,20,196,1.30
7,be,20841,2.05,20,196,1.29
8,to,58560,5.76,41,196,0.83
9,the,301887,29.69,205,197,0.79
10,of,170098,16.73,83,197,0.31
11,in,82003,8.06,38,196,0.24
12,is,49777,4.90,23,196,0.23
13,and,81855,8.05,28,197,-0.20
14,a,68843,6.77,22,196,-0.30
15,to,58560,5.76,18,196,-0.36
16,the,301887,29.69,88,197,-0.43
17,in,82003,8.06,23,196,-0.49
18,of,170098,16.73,45,197,-0.57
19,and,81855,8.05,18,197,-0.84
