No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,25,0.00,9,19,8.92
2,certainty,49,0.01,8,30,7.78
3,curious,139,0.03,9,76,6.45
4,respecting,153,0.03,9,83,6.31
5,stated,298,0.06,10,112,5.50
6,new,505,0.09,10,156,4.74
7,many,679,0.13,10,188,4.31
8,following,1086,0.20,12,226,3.90
9,these,3491,0.65,36,274,3.80
10,some,2000,0.37,16,263,3.43
11,have,5490,1.02,30,293,2.88
12,such,1354,0.25,7,239,2.80
13,there,1652,0.31,7,241,2.52
14,i,8913,1.65,33,294,2.32
15,from,9506,1.76,34,308,2.27
16,all,2309,0.43,8,262,2.23
17,which,11531,2.14,33,297,1.95
18,may,3504,0.65,10,280,1.95
19,been,3614,0.67,10,289,1.90
20,are,5985,1.11,16,299,1.85
21,were,3935,0.73,10,272,1.78
22,other,2810,0.52,7,273,1.75
23,will,3439,0.64,8,262,1.65
24,or,6100,1.13,14,285,1.63
25,that,13266,2.46,29,298,1.56
26,we,3447,0.64,7,225,1.46
27,with,9870,1.83,14,311,0.94
28,be,11890,2.20,16,301,0.86
29,as,9688,1.79,13,303,0.86
30,not,5272,0.98,7,287,0.84
31,to,30909,5.72,38,317,0.73
32,this,8201,1.52,10,297,0.72
33,by,13351,2.47,16,316,0.69
34,the,129921,24.06,152,320,0.66
35,of,76816,14.22,81,320,0.51
36,i,8913,1.65,9,294,0.45
37,in,31200,5.78,29,319,0.33
38,and,35216,6.52,27,319,0.05
39,that,13266,2.46,10,298,0.03
40,by,13351,2.47,10,316,0.02
41,to,30909,5.72,23,317,0.01
42,with,9870,1.83,7,311,-0.06
43,a,26321,4.87,15,317,-0.38
44,the,129921,24.06,70,320,-0.46
45,of,76816,14.22,37,320,-0.62
46,and,35216,6.52,15,319,-0.80
