No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,ascertained,229,0.03,7,71,5.67
2,prove,197,0.03,6,65,5.67
3,new,657,0.10,9,120,4.51
4,number,685,0.10,7,127,4.09
5,these,3485,0.52,26,181,3.64
6,some,2498,0.37,16,192,3.42
7,me,1043,0.16,6,152,3.26
8,have,5893,0.88,26,198,2.88
9,other,3159,0.47,10,192,2.40
10,been,4206,0.63,13,194,2.37
11,are,6333,0.95,17,195,2.16
12,which,13927,2.09,36,207,2.11
13,i,9426,1.41,20,206,1.82
14,that,14882,2.23,29,206,1.70
15,with,9746,1.46,12,204,1.04
16,from,9760,1.46,11,207,0.91
17,to,31123,4.67,35,216,0.91
18,this,9426,1.41,10,202,0.82
19,it,15013,2.25,15,207,0.74
20,in,28652,4.30,28,216,0.70
21,not,6362,0.95,6,196,0.65
22,to,31123,4.67,29,216,0.64
23,of,72706,10.90,66,224,0.60
24,the,116692,17.50,93,224,0.41
25,as,10480,1.57,8,205,0.35
26,and,32659,4.90,24,220,0.29
27,on,8526,1.28,6,216,0.23
28,a,26727,4.01,18,220,0.17
29,i,9426,1.41,6,206,0.09
30,by,12907,1.94,8,213,0.05
31,with,9746,1.46,6,204,0.04
32,as,10480,1.57,6,205,-0.07
33,by,12907,1.94,7,213,-0.15
34,be,13518,2.03,6,208,-0.43
35,the,116692,17.50,50,224,-0.49
36,of,72706,10.90,30,224,-0.54
37,and,32659,4.90,13,220,-0.59
38,is,15334,2.30,6,208,-0.62
