No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,7966,1.03,61,237,3.88
2,all,4920,0.64,17,233,2.73
3,have,10372,1.35,24,244,2.16
4,two,7136,0.93,15,236,2.02
5,i,10079,1.31,21,237,2.00
6,which,22418,2.91,38,245,1.71
7,with,20633,2.68,25,248,1.22
8,from,18374,2.38,22,249,1.21
9,that,23712,3.08,28,244,1.19
10,as,22687,2.94,26,248,1.14
11,be,18656,2.42,19,248,0.97
12,by,23804,3.09,24,249,0.96
13,to,54967,7.13,55,248,0.95
14,are,16286,2.11,16,244,0.92
15,are,16286,2.11,16,244,0.92
16,it,21627,2.81,19,245,0.76
17,with,20633,2.68,18,248,0.75
18,to,54967,7.13,46,248,0.69
19,the,281329,36.51,232,250,0.67
20,by,23804,3.09,18,249,0.54
21,in,71494,9.28,50,250,0.43
22,that,23712,3.08,14,244,0.19
23,of,162110,21.04,86,249,0.03
24,and,70912,9.20,32,249,-0.20
25,the,281329,36.51,121,250,-0.27
26,and,70912,9.20,28,249,-0.39
27,of,162110,21.04,63,249,-0.42
28,is,41370,5.37,13,246,-0.72
29,in,71494,9.28,19,250,-0.97
