No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,398,0.07,11,126,5.24
2,described,1124,0.21,12,163,3.87
3,these,6558,1.20,69,231,3.85
4,appear,968,0.18,10,166,3.82
5,following,1753,0.32,12,213,3.23
6,now,2095,0.38,12,207,2.97
7,some,2814,0.51,11,229,2.42
8,been,5133,0.94,17,235,2.18
9,have,8391,1.53,27,237,2.14
10,which,20027,3.66,59,241,2.01
11,will,4559,0.83,12,221,1.85
12,i,10330,1.89,27,232,1.84
13,from,15049,2.75,34,240,1.63
14,are,12064,2.20,27,239,1.62
15,that,20361,3.72,38,241,1.35
16,as,18102,3.30,27,239,1.03
17,to,46659,8.52,65,243,0.93
18,not,7945,1.45,10,236,0.79
19,by,20547,3.75,25,243,0.74
20,the,216914,39.60,246,245,0.64
21,this,12440,2.27,14,238,0.62
22,to,46659,8.52,52,243,0.61
23,with,16377,2.99,18,242,0.59
24,by,20547,3.75,21,243,0.49
25,in,55804,10.19,54,245,0.41
26,with,16377,2.99,15,242,0.33
27,are,12064,2.20,11,239,0.32
28,on,15392,2.81,14,244,0.32
29,of,130883,23.89,113,245,0.24
30,it,18639,3.40,15,239,0.14
31,be,18653,3.41,15,240,0.14
32,and,55790,10.18,43,245,0.08
33,a,41490,7.57,28,242,-0.11
34,as,18102,3.30,12,239,-0.14
35,be,18653,3.41,12,240,-0.18
36,that,20361,3.72,12,241,-0.31
37,and,55790,10.18,31,245,-0.39
38,the,216914,39.60,117,245,-0.44
39,in,55804,10.19,27,245,-0.59
40,of,130883,23.89,62,245,-0.62
41,a,41490,7.57,19,242,-0.67
42,is,26846,4.90,10,241,-0.97
