No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,27,0.03,7,23,7.81
2,curious,159,0.18,16,67,6.45
3,adduced,57,0.07,5,26,6.25
4,anatomical,75,0.09,5,28,5.86
5,interesting,368,0.42,22,141,5.70
6,certainty,122,0.14,7,56,5.64
7,establish,112,0.13,6,64,5.54
8,attention,405,0.47,20,138,5.42
9,founded,116,0.13,5,63,5.23
10,illustration,153,0.18,6,52,5.09
11,explain,163,0.19,6,76,5.00
12,established,236,0.27,8,95,4.88
13,explanation,366,0.42,12,126,4.83
14,important,584,0.67,19,160,4.82
15,supported,164,0.19,5,71,4.73
16,express,317,0.36,9,94,4.62
17,striking,231,0.27,6,89,4.50
18,mere,278,0.32,6,102,4.23
19,probable,515,0.59,11,139,4.21
20,established,236,0.27,5,95,4.20
21,evident,435,0.50,9,136,4.17
22,remarkable,657,0.76,13,159,4.10
23,ascertained,309,0.36,6,93,4.08
24,explained,280,0.32,5,100,3.96
25,brought,483,0.56,8,138,3.85
26,ascertained,309,0.36,5,93,3.81
27,proved,413,0.48,5,138,3.39
28,seems,595,0.69,7,129,3.35
29,evidence,528,0.61,6,109,3.30
30,mentioned,554,0.64,6,120,3.23
31,account,837,0.96,9,198,3.22
32,existence,486,0.56,5,145,3.16
33,taking,602,0.69,6,176,3.11
34,consider,507,0.58,5,140,3.10
35,quantic,524,0.60,5,8,3.05
36,already,1180,1.36,11,225,3.02
37,yet,972,1.12,9,179,3.01
38,equivalent,550,0.63,5,114,2.98
39,observed,2326,2.68,20,229,2.90
40,appears,1324,1.52,10,222,2.71
41,function,1528,1.76,11,109,2.64
42,considered,836,0.96,6,194,2.64
43,new,1280,1.47,9,196,2.61
44,shown,1292,1.49,9,224,2.60
45,regard,1043,1.20,7,169,2.54
46,far,1384,1.59,9,216,2.50
47,known,960,1.11,6,196,2.44
48,drawn,805,0.93,5,158,2.43
49,matrix,808,0.93,5,34,2.43
50,expression,833,0.96,5,117,2.38
51,almost,1203,1.39,7,181,2.34
52,far,1384,1.59,8,216,2.33
53,tt,940,1.08,5,221,2.21
54,tion,958,1.10,5,219,2.18
55,known,960,1.11,5,196,2.18
56,determined,986,1.14,5,191,2.14
57,must,2206,2.54,11,248,2.11
58,due,1011,1.16,5,178,2.10
59,take,1232,1.42,6,208,2.08
60,question,1035,1.19,5,164,2.07
61,observed,2326,2.68,11,229,2.04
62,together,1067,1.23,5,194,2.03
63,equation,4646,5.35,21,111,1.97
64,following,2751,3.17,12,264,1.92
65,appear,1181,1.36,5,201,1.88
66,observation,2668,3.07,11,126,1.84
67,however,2497,2.87,10,107,1.80
68,every,1263,1.45,5,205,1.78
69,root,1385,1.59,5,60,1.65
70,certain,1395,1.61,5,213,1.64
71,certain,1395,1.61,5,213,1.64
72,point,4751,5.47,17,231,1.64
73,view,1421,1.64,5,171,1.61
74,could,1444,1.66,5,221,1.59
75,general,2045,2.35,7,239,1.57
76,latter,1759,2.03,6,200,1.57
77,value,2941,3.39,10,178,1.56
78,give,2065,2.38,7,241,1.56
79,great,2659,3.06,9,239,1.56
80,well,1776,2.04,6,240,1.55
81,many,1518,1.75,5,204,1.52
82,another,1520,1.75,5,219,1.51
83,equal,1848,2.13,6,224,1.50
84,however,2497,2.87,8,107,1.48
85,equation,4646,5.35,14,111,1.39
86,upon,4080,4.70,12,238,1.35
87,specimen,1816,2.09,5,92,1.26
88,may,8081,9.30,22,282,1.24
89,case,4490,5.17,12,252,1.21
90,amount,1906,2.19,5,162,1.19
91,made,3226,3.71,8,261,1.11
92,body,2839,3.27,7,143,1.10
93,system,2160,2.49,5,134,1.01
94,would,3539,4.07,8,261,0.97
95,air,2713,3.12,6,107,0.94
96,present,2276,2.62,5,248,0.93
97,given,2770,3.19,6,264,0.91
98,much,2943,3.39,6,232,0.82
99,plane,2553,2.94,5,110,0.77
100,obtained,2620,3.02,5,251,0.73
101,less,2628,3.03,5,232,0.72
102,time,4234,4.87,8,225,0.71
103,length,2648,3.05,5,185,0.71
104,great,2659,3.06,5,239,0.71
105,therefore,2670,3.07,5,253,0.70
106,mean,4015,4.62,7,153,0.60
107,tube,2921,3.36,5,97,0.57
108,line,5987,6.89,10,191,0.54
109,fibre,3602,4.15,6,30,0.53
110,first,4407,5.07,7,279,0.46
111,form,6411,7.38,10,255,0.44
112,case,4490,5.17,7,252,0.44
113,made,3226,3.71,5,261,0.43
114,number,4190,4.82,6,244,0.31
115,point,4751,5.47,6,231,0.13
116,may,8081,9.30,10,282,0.10
117,also,4065,4.68,5,280,0.10
118,upon,4080,4.70,5,238,0.09
119,water,4780,5.50,5,144,-0.14
120,surface,4839,5.57,5,177,-0.16
121,part,6739,7.76,5,251,-0.63
122,fig,9187,10.58,5,21,-1.08
