No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stylized,20,0.01,6,10,9.42
2,fiction,21,0.01,6,9,9.35
3,compounded,49,0.02,8,44,8.54
4,derives,106,0.05,7,81,7.23
5,spite,212,0.09,13,122,7.13
6,despite,1711,0.75,96,815,7.00
7,complicated,449,0.20,16,278,6.34
8,explained,878,0.39,26,491,6.08
9,motivated,278,0.12,8,207,6.03
10,reflects,595,0.26,17,392,6.02
11,reflecting,391,0.17,11,267,6.00
12,exploit,363,0.16,10,195,5.97
13,relies,304,0.13,6,230,5.49
14,highlight,894,0.39,17,362,5.44
15,lie,738,0.32,13,223,5.33
16,refers,403,0.18,7,262,5.31
17,due,3846,1.69,65,1064,5.27
18,emphasize,298,0.13,5,223,5.26
19,reflect,958,0.42,16,503,5.25
20,striking,465,0.20,7,271,5.10
21,highlighted,484,0.21,7,300,5.04
22,remarkable,482,0.21,6,287,4.83
23,arises,496,0.22,6,325,4.78
24,reflected,510,0.22,6,337,4.74
25,matter,1676,0.74,19,455,4.69
26,owing,2498,1.10,25,856,4.51
27,account,3016,1.32,28,903,4.40
28,opinion,587,0.26,5,176,4.28
29,obvious,651,0.29,5,406,4.13
30,quite,1083,0.48,8,565,4.07
31,illustrated,815,0.36,6,462,4.07
32,proof,719,0.32,5,147,3.99
33,advantage,1474,0.65,10,507,3.95
34,sheet,1384,0.61,9,129,3.89
35,together,2533,1.11,15,956,3.75
36,arise,874,0.38,5,490,3.70
37,many,9688,4.25,55,1657,3.69
38,supported,1770,0.78,10,980,3.69
39,follows,1333,0.59,7,395,3.58
40,consistent,2341,1.03,12,816,3.54
41,majority,1009,0.44,5,568,3.50
42,certain,1745,0.77,8,814,3.38
43,come,1779,0.78,8,561,3.36
44,consequence,2713,1.19,12,488,3.33
45,latter,1418,0.62,6,700,3.27
46,recognition,1196,0.53,5,389,3.25
47,related,3941,1.73,16,1226,3.21
48,true,1238,0.54,5,582,3.20
49,stem,2733,1.20,11,233,3.20
50,equivalent,1258,0.55,5,482,3.18
51,basic,1805,0.79,7,771,3.14
52,already,1854,0.81,7,853,3.10
53,find,1908,0.84,7,783,3.06
54,scientific,2509,1.10,9,760,3.03
55,simple,3114,1.37,11,968,3.01
56,established,1440,0.63,5,673,2.98
57,empirical,1467,0.64,5,463,2.96
58,called,1502,0.66,5,620,2.92
59,final,1503,0.66,5,730,2.92
60,even,6421,2.82,20,1459,2.83
61,finding,2702,1.19,8,590,2.75
62,appears,1693,0.74,5,749,2.75
63,cause,2944,1.29,8,762,2.63
64,hypothesis,2755,1.21,7,540,2.53
65,people,2468,1.08,6,507,2.47
66,theoretical,2100,0.92,5,724,2.44
67,far,2144,0.94,5,901,2.41
68,previous,2217,0.97,5,922,2.36
69,highly,3160,1.39,7,1133,2.33
70,based,7224,3.17,16,1484,2.33
71,seen,2792,1.23,6,972,2.29
72,nonlinear,3384,1.49,7,440,2.24
73,limited,2434,1.07,5,965,2.23
74,patient,2953,1.30,6,175,2.21
75,view,2991,1.31,6,810,2.19
76,recently,2544,1.12,5,884,2.16
77,found,6628,2.91,13,1360,2.16
78,much,5225,2.29,10,1429,2.12
79,uncertainty,3490,1.53,6,365,1.97
80,uncertainty,3490,1.53,6,365,1.97
81,least,2914,1.28,5,1078,1.97
82,make,4163,1.83,7,1115,1.94
83,genetic,4820,2.12,8,608,1.92
84,might,5044,2.22,8,1141,1.85
85,experimental,4477,1.97,7,1019,1.83
86,known,3843,1.69,6,1239,1.83
87,key,3990,1.75,6,1194,1.78
88,power,3371,1.48,5,658,1.76
89,multiple,4060,1.78,6,1106,1.75
90,cost,3387,1.49,5,439,1.75
91,must,3396,1.49,5,1059,1.75
92,prediction,3425,1.50,5,461,1.73
93,several,4958,2.18,7,1373,1.68
94,often,4262,1.87,6,1217,1.68
95,total,3671,1.61,5,875,1.63
96,following,4428,1.94,6,1247,1.63
97,may,17814,7.82,24,1655,1.62
98,body,3751,1.65,5,623,1.60
99,use,10573,4.64,14,1486,1.59
100,task,3780,1.66,5,389,1.59
101,however,11640,5.11,15,197,1.55
102,natural,4735,2.08,6,1077,1.53
103,animal,6327,2.78,8,616,1.53
104,infection,4027,1.77,5,211,1.50
105,specific,4850,2.13,6,1216,1.49
106,given,6642,2.92,8,1409,1.46
107,given,6642,2.92,8,1409,1.46
108,small,5903,2.59,7,1362,1.43
109,whether,4264,1.87,5,1179,1.42
110,among,4353,1.91,5,1138,1.39
111,property,5262,2.31,6,351,1.38
112,different,14616,6.42,16,1672,1.32
113,significant,4657,2.05,5,1192,1.29
114,number,11361,4.99,12,1532,1.27
115,point,6628,2.91,7,1131,1.27
116,figure,26118,11.47,27,1373,1.24
117,case,10708,4.70,11,1295,1.23
118,result,13697,6.02,14,1268,1.22
119,well,7980,3.50,8,1634,1.19
120,component,5010,2.20,5,696,1.18
121,observed,6091,2.67,6,1176,1.17
122,table,5125,2.25,5,685,1.15
123,result,13697,6.02,13,1268,1.11
124,shown,7431,3.26,7,1383,1.10
125,way,5308,2.33,5,1147,1.10
126,case,10708,4.70,10,1295,1.09
127,term,6435,2.83,6,728,1.09
128,size,6492,2.85,6,960,1.07
129,recent,5505,2.42,5,1435,1.05
130,could,8882,3.90,8,1503,1.04
131,first,10039,4.41,9,1674,1.03
132,experiment,6881,3.02,6,489,0.99
133,large,8182,3.59,7,1473,0.96
134,set,5894,2.59,5,1198,0.95
135,individual,8331,3.66,7,1092,0.94
136,show,8365,3.67,7,1297,0.93
137,information,7210,3.17,6,1196,0.92
138,important,7582,3.33,6,1570,0.85
139,difference,6387,2.80,5,871,0.83
140,equation,6615,2.91,5,446,0.78
141,equation,6615,2.91,5,446,0.78
142,evolution,9452,4.15,7,916,0.75
143,evidence,6858,3.01,5,1178,0.73
144,approach,9629,4.23,7,1226,0.73
145,form,7028,3.09,5,1229,0.70
146,used,12906,5.67,9,1621,0.67
147,process,11522,5.06,8,1171,0.66
148,based,7224,3.17,5,1484,0.66
149,theory,7301,3.21,5,891,0.64
150,neuron,7329,3.22,5,252,0.64
151,mean,7504,3.30,5,858,0.60
152,important,7582,3.33,5,1570,0.59
153,state,10620,4.66,7,1106,0.59
154,region,9150,4.02,6,857,0.58
155,using,14122,6.20,9,1641,0.54
156,pattern,7846,3.45,5,752,0.54
157,interaction,7855,3.45,5,828,0.54
158,well,7980,3.50,5,1634,0.51
159,effect,16556,7.27,10,1213,0.46
160,specie,13327,5.85,8,4,0.45
161,time,18702,8.21,11,1577,0.42
162,energy,8541,3.75,5,774,0.41
163,system,22978,10.09,13,1373,0.37
164,could,8882,3.90,5,1503,0.36
165,may,17814,7.82,10,1655,0.35
166,gene,11196,4.92,6,515,0.29
167,model,30029,13.19,16,1386,0.28
