No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,fiction,70,0.03,19,21,9.36
2,trier,23,0.01,6,5,9.30
3,finder,23,0.01,5,5,9.04
4,stylized,46,0.02,10,28,9.04
5,arithmetical,59,0.02,6,19,7.94
6,compounded,114,0.05,10,96,7.73
7,spite,438,0.18,25,284,7.11
8,despite,4679,1.94,239,2219,6.95
9,exacerbated,196,0.08,9,167,6.79
10,notwithstanding,197,0.08,8,105,6.61
11,complicated,1190,0.49,41,709,6.38
12,hampered,146,0.06,5,118,6.37
13,reflects,1493,0.62,49,978,6.31
14,underscore,158,0.07,5,72,6.26
15,attributable,360,0.15,10,253,6.07
16,justified,320,0.13,8,202,5.92
17,derives,243,0.10,6,199,5.90
18,explained,2610,1.08,57,1383,5.72
19,relies,889,0.37,19,662,5.69
20,virtue,297,0.12,6,187,5.61
21,emphasize,821,0.34,16,607,5.56
22,due,12604,5.22,241,3063,5.53
23,reflecting,976,0.40,18,661,5.48
24,motivated,829,0.34,15,562,5.45
25,exploit,986,0.41,17,490,5.38
26,refers,1079,0.45,18,700,5.33
27,lie,1999,0.83,33,560,5.32
28,arithmetic,442,0.18,7,110,5.26
29,arises,1250,0.52,18,824,5.12
30,highlight,2522,1.04,35,1027,5.07
31,reflected,1326,0.55,18,833,5.03
32,evidenced,388,0.16,5,299,4.96
33,attributed,1475,0.61,19,850,4.96
34,exploiting,554,0.23,7,390,4.93
35,remarkable,1110,0.46,14,678,4.93
36,reflect,2752,1.14,33,1389,4.86
37,highlighted,1280,0.53,15,769,4.82
38,aware,603,0.25,7,417,4.81
39,virtually,546,0.23,6,398,4.73
40,matter,5008,2.07,53,1266,4.67
41,owing,5345,2.21,56,1877,4.66
42,striking,980,0.41,10,629,4.62
43,emphasized,597,0.25,6,424,4.60
44,relates,744,0.31,7,551,4.51
45,chaperone,978,0.41,9,76,4.47
46,account,7419,3.07,67,2294,4.45
