No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,16,0.02,7,15,8.59
2,accounted,75,0.09,7,45,6.36
3,certainty,115,0.13,8,50,5.94
4,establish,74,0.08,5,48,5.89
5,anatomical,75,0.09,5,24,5.87
6,infer,107,0.12,5,42,5.36
7,demonstrated,133,0.15,6,44,5.31
8,curious,114,0.13,5,54,5.27
9,attention,366,0.42,16,121,5.27
10,explained,215,0.24,8,92,5.03
11,interesting,297,0.34,11,124,5.03
12,remarkable,537,0.61,19,129,4.96
13,accordance,144,0.16,5,80,4.93
14,established,176,0.20,6,78,4.91
15,account,708,0.80,23,171,4.84
16,additional,228,0.26,7,99,4.76
17,important,551,0.63,16,144,4.68
18,established,176,0.20,5,78,4.64
19,bearing,192,0.22,5,80,4.52
20,arises,233,0.26,6,60,4.50
21,owing,319,0.36,8,104,4.46
22,due,1038,1.18,23,159,4.28
23,statement,229,0.26,5,67,4.26
24,interest,245,0.28,5,86,4.17
25,alone,351,0.40,7,102,4.13
26,recorded,254,0.29,5,71,4.11
27,done,290,0.33,5,118,3.92
28,proved,319,0.36,5,101,3.79
29,stated,389,0.44,6,130,3.76
30,mentioned,460,0.52,7,116,3.74
31,think,404,0.46,6,90,3.71
32,mentioned,460,0.52,6,116,3.52
33,connexion,545,0.62,7,130,3.50
34,new,876,1.00,11,173,3.47
35,partly,404,0.46,5,101,3.44
36,brought,450,0.51,5,127,3.29
37,known,762,0.87,8,153,3.21
38,evidence,515,0.59,5,101,3.09
39,known,762,0.87,7,153,3.01
40,observed,1373,1.56,12,199,2.94
41,already,1072,1.22,9,188,2.88
42,conic,613,0.70,5,13,2.84
43,drawn,632,0.72,5,147,2.80
44,rest,692,0.79,5,125,2.67
45,observed,1373,1.56,9,199,2.53
46,certain,952,1.08,6,187,2.47
47,appear,965,1.10,6,175,2.45
48,another,1288,1.46,8,182,2.45
49,matter,902,1.03,5,118,2.29
50,shown,1457,1.66,8,198,2.27
51,following,1923,2.19,10,227,2.19
52,either,1029,1.17,5,195,2.10
53,case,3913,4.45,19,208,2.09
54,equation,2881,3.27,13,74,1.99
55,however,2052,2.33,9,67,1.95
56,appears,1157,1.32,5,195,1.93
57,point,4811,5.47,20,194,1.87
58,first,3915,4.45,15,237,1.75
59,upon,2621,2.98,9,199,1.59
60,described,1772,2.01,6,174,1.57
61,relation,1484,1.69,5,153,1.57
62,must,1784,2.03,6,218,1.57
63,value,2677,3.04,9,147,1.56
64,obtained,1824,2.07,6,209,1.53
65,may,5806,6.60,19,235,1.53
66,given,2853,3.24,9,228,1.47
67,curve,2267,2.58,7,103,1.44
68,order,1634,1.86,5,194,1.43
69,upon,2621,2.98,8,199,1.43
70,similar,1642,1.87,5,205,1.42
71,difference,1675,1.90,5,182,1.39
72,great,2160,2.46,6,198,1.29
73,specimen,2169,2.47,6,81,1.28
74,found,3308,3.76,9,223,1.26
75,observation,2290,2.60,6,119,1.20
76,value,2677,3.04,7,147,1.20
77,nearly,1921,2.18,5,198,1.20
78,show,1937,2.20,5,181,1.18
79,much,2764,3.14,7,201,1.16
80,thus,2459,2.80,6,226,1.10
81,case,3913,4.45,8,208,0.85
82,form,4938,5.61,9,213,0.68
83,equation,2881,3.27,5,74,0.61
84,also,3498,3.98,6,232,0.59
85,made,2964,3.37,5,235,0.57
86,surface,5679,6.46,9,173,0.48
87,experiment,3870,4.40,6,85,0.45
88,found,3308,3.76,5,223,0.41
89,point,4811,5.47,7,194,0.36
90,may,5806,6.60,7,235,0.08
91,line,5649,6.42,6,180,-0.10
