No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,emphasise,24,0.03,6,17,7.74
2,despite,34,0.04,6,13,7.24
3,spite,124,0.14,19,60,7.04
4,reveals,38,0.04,5,21,6.82
5,supported,155,0.18,10,63,5.79
6,matter,512,0.60,31,110,5.70
7,owing,613,0.71,37,118,5.69
8,attention,240,0.28,14,87,5.64
9,accordance,145,0.17,8,64,5.56
10,significant,133,0.16,7,43,5.50
11,explain,121,0.14,6,57,5.41
12,injection,126,0.15,5,8,5.09
13,confirmed,172,0.20,6,69,4.90
14,due,1693,1.97,55,152,4.80
15,apart,298,0.35,9,104,4.70
16,view,1320,1.54,36,142,4.55
17,striking,244,0.28,6,65,4.40
18,interesting,375,0.44,9,116,4.36
19,depends,225,0.26,5,76,4.25
20,arises,267,0.31,5,66,4.01
21,remarkable,305,0.36,5,90,3.81
22,based,375,0.44,6,93,3.78
23,actual,564,0.66,9,131,3.77
24,lie,1192,1.39,18,110,3.70
25,account,998,1.16,14,137,3.59
26,using,582,0.68,8,101,3.56
27,seem,547,0.64,6,105,3.23
28,recorded,457,0.53,5,87,3.23
29,important,750,0.87,8,134,3.19
30,indicated,563,0.66,6,115,3.19
31,connected,566,0.66,6,109,3.18
32,known,1064,1.24,9,139,2.86
33,many,1288,1.50,10,136,2.74
34,shown,2536,2.96,19,158,2.68
35,presence,692,0.81,5,114,2.63
36,colour,911,1.06,6,38,2.50
37,already,1085,1.26,7,143,2.47
38,observed,1832,2.14,11,130,2.36
39,somewhat,842,0.98,5,124,2.35
40,new,1065,1.24,6,136,2.27
41,observed,1832,2.14,10,130,2.23
42,certain,1339,1.56,7,151,2.16
43,however,2323,2.71,12,55,2.15
44,scale,1070,1.25,5,77,2.00
45,appear,1302,1.52,6,141,1.98
46,following,1307,1.52,6,151,1.98
47,must,1808,2.11,8,154,1.92
48,upon,1364,1.59,6,111,1.92
49,found,3280,3.82,13,157,1.77
50,appears,1270,1.48,5,145,1.76
51,far,1326,1.55,5,146,1.69
52,group,1444,1.68,5,87,1.57
53,since,1506,1.76,5,146,1.51
54,experiment,1848,2.15,6,57,1.48
55,made,2271,2.65,7,157,1.40
56,line,4668,5.44,14,136,1.36
57,condition,2413,2.81,7,123,1.32
58,shown,2536,2.96,7,158,1.24
59,also,3753,4.38,10,159,1.19
60,may,6041,7.04,16,159,1.18
61,position,1898,2.21,5,135,1.18
62,point,3426,3.99,9,151,1.17
63,case,4604,5.37,10,156,0.90
64,equation,2819,3.29,6,75,0.87
65,specimen,2840,3.31,6,72,0.86
66,series,4283,4.99,9,145,0.85
67,would,2877,3.35,6,157,0.84
68,structure,2424,2.83,5,84,0.82
69,give,2425,2.83,5,152,0.82
70,number,3141,3.66,6,154,0.71
71,result,3288,3.83,6,139,0.65
72,form,4935,5.75,9,158,0.65
73,region,2782,3.24,5,113,0.62
74,large,2868,3.34,5,153,0.58
75,value,6389,7.45,11,120,0.56
76,series,4283,4.99,7,145,0.49
77,show,3152,3.67,5,154,0.44
78,found,3280,3.82,5,157,0.39
79,point,3426,3.99,5,151,0.32
80,surface,3635,4.24,5,127,0.24
81,first,4046,4.72,5,160,0.08
82,form,4935,5.75,6,158,0.06
83,may,6041,7.04,7,159,-0.01
84,case,4604,5.37,5,156,-0.10
85,value,6389,7.45,5,120,-0.58
