No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,fiction,115,0.04,24,25,9.09
2,stylized,66,0.03,7,45,8.11
3,undermined,69,0.03,6,55,7.83
4,arithmetical,71,0.03,6,22,7.79
5,obscures,64,0.02,5,61,7.67
6,contradicts,92,0.04,5,81,7.15
7,notwithstanding,212,0.08,10,123,6.95
8,spite,471,0.18,21,324,6.86
9,exacerbated,278,0.11,12,230,6.82
10,despite,6569,2.51,269,3106,6.74
11,fallacy,150,0.06,6,43,6.71
12,reflects,2028,0.78,72,1302,6.54
13,complicated,1437,0.55,48,867,6.45
14,underline,188,0.07,6,89,6.38
15,underscore,234,0.09,7,101,6.29
16,justified,448,0.17,13,284,6.24
17,virtue,399,0.15,11,228,6.17
18,ignores,184,0.07,5,161,6.15
19,myth,196,0.08,5,79,6.06
20,due,17951,6.87,365,4048,5.73
21,motivated,1363,0.52,27,800,5.69
22,explained,3832,1.47,72,1933,5.62
23,translates,322,0.12,6,260,5.61
24,attributable,501,0.19,9,306,5.55
25,lsw,288,0.11,5,6,5.50
26,lie,2555,0.98,43,686,5.46
27,emphasize,1144,0.44,19,828,5.44
28,reflecting,1278,0.49,20,871,5.35
29,relies,1360,0.52,21,966,5.33
30,attributed,1948,0.75,30,1149,5.33
31,refers,1519,0.58,23,949,5.31
32,exploiting,732,0.28,11,488,5.30
33,chaperone,751,0.29,11,85,5.26
34,arises,1643,0.63,24,1022,5.25
35,remarkable,1321,0.51,19,850,5.23
36,exploit,1281,0.49,16,637,5.03
37,relates,981,0.38,12,743,5.00
38,sight,412,0.16,5,184,4.99
39,evidenced,580,0.22,7,441,4.98
40,reflected,1857,0.71,21,1133,4.89
41,sheet,1779,0.68,20,257,4.88
42,owing,6823,2.61,74,2296,4.82
43,emphasizes,463,0.18,5,370,4.82
44,aside,469,0.18,5,312,4.80
45,spite,471,0.18,5,324,4.79
46,accounting,1388,0.53,14,848,4.72
47,aware,801,0.31,8,556,4.71
48,arithmetic,702,0.27,7,140,4.70
49,mere,604,0.23,6,359,4.70
50,matter,7501,2.87,73,1697,4.67
51,semigroup,731,0.28,7,25,4.65
52,account,9624,3.68,90,2971,4.61
53,come,5739,2.20,52,1776,4.57
54,highlight,4006,1.53,36,1578,4.55
55,reflect,3937,1.51,35,1985,4.54
56,stem,5188,1.99,43,803,4.44
57,trivial,758,0.29,6,327,4.37
58,besides,1036,0.40,8,589,4.33
59,mention,678,0.26,5,444,4.27
60,highlighted,1794,0.69,13,1079,4.24
61,supported,7154,2.74,50,3633,4.19
62,exploited,801,0.31,5,489,4.03
63,axiom,826,0.32,5,41,3.98
64,advantage,5133,1.96,30,1748,3.93
65,something,1614,0.62,9,741,3.87
66,telomerase,919,0.35,5,40,3.83
67,arise,2966,1.13,16,1539,3.82
68,follows,6130,2.35,33,1576,3.81
69,subduction,1129,0.43,6,57,3.80
70,imply,1347,0.52,7,928,3.76
71,shall,1159,0.44,6,449,3.76
72,cosmology,976,0.37,5,72,3.74
73,apart,1570,0.60,8,911,3.74
74,obvious,1996,0.76,10,1218,3.71
75,striking,1006,0.38,5,708,3.70
76,none,1468,0.56,7,963,3.64
77,illustrates,1476,0.56,7,986,3.63
78,except,2594,0.99,12,1486,3.60
79,consistent,9514,3.64,44,3110,3.60
80,easy,1749,0.67,8,1061,3.58
81,contrary,1102,0.42,5,552,3.57
82,device,4823,1.85,21,506,3.51
83,quite,3076,1.18,13,1720,3.47
84,considering,4427,1.69,18,2264,3.41
85,believe,1478,0.57,6,903,3.41
86,proof,4987,1.91,20,564,3.39
87,evident,1756,0.67,7,1044,3.38
88,many,27177,10.40,107,5039,3.36
