No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,significant,64,0.08,7,26,6.50
2,strengthened,65,0.08,7,28,6.48
3,relating,129,0.16,12,49,6.27
4,curious,152,0.18,12,72,6.03
5,spite,143,0.17,11,68,5.99
6,arrange,83,0.10,6,49,5.90
7,familiar,71,0.09,5,36,5.86
8,establish,93,0.11,6,53,5.74
9,attention,567,0.69,36,152,5.72
10,accounted,142,0.17,9,79,5.71
11,expressing,83,0.10,5,56,5.64
12,notwithstanding,90,0.11,5,47,5.52
13,explain,241,0.29,11,105,5.24
14,anatomical,178,0.22,8,37,5.22
15,established,307,0.37,13,96,5.13
16,demonstrated,172,0.21,7,54,5.07
17,mere,233,0.28,9,94,5.00
18,proved,498,0.60,18,159,4.90
19,accordance,223,0.27,8,92,4.89
20,fundamental,262,0.32,9,67,4.83
21,matter,1761,2.13,60,166,4.82
22,express,289,0.35,9,103,4.69
23,mention,230,0.28,7,72,4.65
24,confirmed,200,0.24,6,89,4.63
25,confirmed,200,0.24,6,89,4.63
26,important,1025,1.24,30,212,4.60
27,interpretation,209,0.25,6,71,4.57
28,came,211,0.25,6,92,4.56
29,owing,836,1.01,23,174,4.51
30,due,2830,3.42,77,232,4.49
31,illustration,186,0.22,5,50,4.48
32,explanation,564,0.68,15,160,4.46
33,summary,188,0.23,5,71,4.46
34,supported,266,0.32,7,91,4.44
35,remarkable,536,0.65,14,147,4.43
36,interesting,499,0.60,13,152,4.43
37,striking,371,0.45,9,115,4.33
38,explained,368,0.44,8,112,4.17
39,discovered,235,0.28,5,84,4.14
40,related,272,0.33,5,81,3.93
41,lie,1193,1.44,20,144,3.79
42,chief,360,0.43,6,127,3.79
43,previously,721,0.87,12,173,3.78
44,noted,550,0.66,9,107,3.76
45,established,307,0.37,5,96,3.75
46,consequence,437,0.53,7,112,3.73
47,brought,634,0.77,10,168,3.71
48,notice,328,0.40,5,95,3.66
49,main,621,0.75,9,128,3.58
50,suggested,414,0.50,6,150,3.58
51,account,1235,1.49,17,221,3.51
52,known,1333,1.61,18,218,3.48
53,seem,756,0.91,10,162,3.45
54,broad,454,0.55,6,88,3.45
55,experimental,681,0.82,9,106,3.45
56,already,1792,2.17,23,230,3.41
57,beyond,642,0.78,8,182,3.37
58,consideration,652,0.79,8,133,3.34
59,stated,752,0.91,9,160,3.31
60,believe,424,0.51,5,110,3.29
61,led,539,0.65,6,161,3.20
62,mentioned,648,0.78,7,144,3.16
63,bearing,466,0.56,5,117,3.15
64,view,1779,2.15,19,186,3.14
65,noticed,569,0.69,6,160,3.13
66,evident,685,0.83,7,149,3.08
67,consideration,652,0.79,6,133,2.93
68,obvious,544,0.66,5,140,2.93
69,clearly,668,0.81,6,180,2.89
70,shown,3086,3.73,27,255,2.86
71,new,1258,1.52,11,192,2.86
72,taking,818,0.99,7,194,2.82
73,drawn,826,1.00,7,181,2.81
74,represent,626,0.76,5,167,2.72
75,think,667,0.81,5,132,2.63
76,doubt,819,0.99,6,163,2.60
77,consists,685,0.83,5,172,2.59
78,rotation,709,0.86,5,67,2.55
79,observed,2707,3.27,19,209,2.54
80,following,2598,3.14,18,242,2.52
81,rapidly,729,0.88,5,168,2.50
82,certain,2053,2.48,14,231,2.50
83,many,1808,2.18,12,224,2.46
84,definite,762,0.92,5,174,2.44
85,often,924,1.12,6,156,2.43
86,remains,927,1.12,6,186,2.42
87,indicated,779,0.94,5,172,2.41
88,actual,784,0.95,5,173,2.40
89,appear,1609,1.94,10,219,2.36
90,although,1661,2.01,10,199,2.32
91,evidence,1540,1.86,9,165,2.27
92,always,1412,1.71,8,219,2.23
93,shall,1059,1.28,6,175,2.23
94,referred,943,1.14,5,195,2.13
95,connected,1157,1.40,6,189,2.10
96,considerable,1175,1.42,6,204,2.08
97,electric,1380,1.67,7,73,2.07
98,observed,2707,3.27,13,209,1.99
99,growth,1046,1.26,5,71,1.98
100,upon,3807,4.60,18,205,1.97
101,regard,1497,1.81,7,182,1.95
102,bundle,1329,1.61,6,35,1.90
103,find,2071,2.50,9,220,1.85
104,together,1170,1.41,5,197,1.82
105,conclusion,1184,1.43,5,168,1.81
106,seems,1210,1.46,5,195,1.77
107,several,1457,1.76,6,232,1.77
108,account,1235,1.49,5,221,1.74
109,appears,1996,2.41,8,233,1.73
110,general,2246,2.71,9,231,1.73
111,light,2020,2.44,8,174,1.71
112,great,2289,2.77,9,238,1.70
113,since,2039,2.46,8,225,1.70
114,theory,1856,2.24,7,118,1.64
115,true,1335,1.61,5,207,1.63
116,quite,1418,1.71,5,209,1.55
117,several,1457,1.76,5,232,1.51
118,case,8169,9.87,28,247,1.50
119,last,1472,1.78,5,233,1.49
120,may,10041,12.13,34,265,1.49
121,far,2371,2.86,8,242,1.48
122,specie,1482,1.79,5,5,1.48
123,might,1501,1.81,5,225,1.46
124,theory,1856,2.24,6,118,1.42
125,almost,1592,1.92,5,208,1.38
126,even,1915,2.31,6,225,1.37
127,another,1974,2.39,6,233,1.33
128,certain,2053,2.48,6,231,1.27
129,latter,2053,2.48,6,224,1.27
130,shown,3086,3.73,9,255,1.27
131,must,3457,4.18,10,243,1.26
132,animal,2162,2.61,6,95,1.20
133,well,2537,3.07,7,248,1.19
134,described,2583,3.12,7,219,1.17
135,though,1863,2.25,5,195,1.15
136,would,4858,5.87,13,253,1.15
137,general,2246,2.71,6,231,1.14
138,function,1916,2.32,5,126,1.11
139,taken,3082,3.72,8,250,1.10
140,present,3480,4.20,9,241,1.10
141,group,1936,2.34,5,126,1.10
142,however,3649,4.41,9,114,1.03
143,still,2039,2.46,5,229,1.02
144,still,2039,2.46,5,229,1.02
145,relation,2051,2.48,5,185,1.01
146,observation,3693,4.46,9,138,1.01
147,normal,2054,2.48,5,163,1.01
148,order,2475,2.99,6,224,1.00
149,whole,2581,3.12,6,235,0.94
150,movement,2619,3.16,6,85,0.92
151,found,5255,6.35,12,260,0.92
152,also,5832,7.05,13,264,0.88
153,however,3649,4.41,8,114,0.86
154,gas,2308,2.79,5,98,0.84
155,gas,2308,2.79,5,98,0.84
156,observation,3693,4.46,8,138,0.84
157,upon,3807,4.60,8,205,0.80
158,found,5255,6.35,11,260,0.79
159,much,3409,4.12,7,249,0.77
160,large,3436,4.15,7,240,0.75
161,body,2463,2.98,5,134,0.75
162,similar,2513,3.04,5,252,0.72
163,taken,3082,3.72,6,250,0.69
164,region,2594,3.13,5,123,0.67
165,structure,2628,3.18,5,110,0.65
166,root,2711,3.28,5,68,0.61
167,give,3382,4.09,6,237,0.55
168,condition,3413,4.12,6,191,0.54
169,thus,4186,5.06,7,250,0.47
170,show,4338,5.24,7,247,0.42
171,experiment,6857,8.29,11,128,0.41
172,point,5623,6.79,9,247,0.41
173,point,5623,6.79,9,247,0.41
174,series,3161,3.82,5,236,0.39
175,change,3814,4.61,6,209,0.38
176,first,6364,7.69,10,262,0.38
177,curve,3272,3.95,5,130,0.34
178,fibre,4620,5.58,7,29,0.33
179,made,4829,5.83,7,257,0.26
180,number,5620,6.79,8,244,0.24
181,time,5739,6.93,8,239,0.21
182,also,5832,7.05,8,264,0.18
183,seen,4493,5.43,6,256,0.14
184,temperature,5485,6.63,7,124,0.08
185,result,6534,7.89,8,229,0.02
186,case,8169,9.87,10,247,0.02
187,given,4276,5.17,5,256,-0.05
188,fig,11985,14.48,14,52,-0.05
189,seen,4493,5.43,5,256,-0.12
190,may,10041,12.13,11,265,-0.14
191,small,4596,5.55,5,253,-0.15
192,effect,4632,5.60,5,183,-0.16
193,number,5620,6.79,6,244,-0.18
194,temperature,5485,6.63,5,124,-0.41
195,cell,5625,6.80,5,80,-0.44
196,cell,5625,6.80,5,80,-0.44
197,line,5931,7.17,5,209,-0.52
198,surface,7020,8.48,5,218,-0.76
199,part,8723,10.54,6,256,-0.81
