No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,adduced,45,0.06,7,21,6.95
2,accounted,99,0.12,8,51,6.00
3,confirmed,125,0.16,10,60,5.99
4,interpretation,122,0.15,9,44,5.87
5,consistent,74,0.09,5,40,5.74
6,establish,75,0.09,5,45,5.72
7,relating,120,0.15,7,44,5.53
8,curious,172,0.22,10,66,5.53
9,attention,416,0.52,23,133,5.45
10,explain,187,0.24,10,79,5.41
11,aware,97,0.12,5,45,5.35
12,tends,109,0.14,5,56,5.18
13,detailed,137,0.17,6,59,5.12
14,interesting,376,0.47,15,134,4.98
15,mind,208,0.26,8,76,4.93
16,certainty,132,0.17,5,60,4.91
17,arises,161,0.20,6,64,4.88
18,regarding,141,0.18,5,59,4.81
19,remarkable,551,0.70,19,144,4.77
20,established,205,0.26,7,74,4.76
21,additional,293,0.37,10,106,4.76
22,noted,206,0.26,7,76,4.75
23,accordance,185,0.23,6,83,4.68
24,supported,187,0.24,6,64,4.67
25,explained,268,0.34,8,86,4.56
26,established,205,0.26,6,74,4.54
27,teleostei,172,0.22,5,9,4.53
28,bearing,245,0.31,7,91,4.50
29,proved,395,0.50,11,108,4.46
30,important,738,0.93,19,148,4.35
31,mention,201,0.25,5,71,4.30
32,owing,458,0.58,11,130,4.25
33,interest,310,0.39,7,94,4.16
34,due,1779,2.24,40,178,4.16
35,account,803,1.01,17,175,4.07
36,occurrence,246,0.31,5,58,4.01
37,experimental,353,0.45,7,59,3.97
38,statement,307,0.39,6,73,3.95
39,mentioned,484,0.61,8,133,3.71
40,interest,310,0.39,5,94,3.68
41,evident,317,0.40,5,102,3.64
42,main,471,0.59,7,94,3.56
43,stress,337,0.43,5,28,3.56
44,indicated,410,0.52,6,123,3.54
45,pointed,510,0.64,7,142,3.44
46,think,589,0.74,8,113,3.43
47,partly,449,0.57,6,99,3.40
48,explanation,466,0.59,6,116,3.35
49,merely,486,0.61,6,121,3.29
50,brought,589,0.74,7,150,3.24
51,already,1356,1.71,15,183,3.13
52,matter,1299,1.64,14,125,3.09
53,seem,497,0.63,5,141,3.00
54,observed,1727,2.18,17,193,2.96
55,consists,511,0.64,5,130,2.96
56,alone,749,0.94,7,112,2.89
57,stated,537,0.68,5,129,2.88
58,observed,1727,2.18,16,193,2.88
59,often,570,0.72,5,124,2.80
60,think,589,0.74,5,113,2.75
61,evidence,605,0.76,5,117,2.71
62,new,1107,1.40,9,192,2.69
63,shown,1980,2.50,16,202,2.68
64,following,2007,2.53,16,228,2.66
65,known,885,1.12,7,177,2.65
66,connexion,651,0.82,5,121,2.61
67,question,912,1.15,7,145,2.61
68,remains,811,1.02,6,144,2.55
69,another,1689,2.13,12,205,2.49
70,seems,716,0.90,5,159,2.47
71,certain,1313,1.66,9,187,2.44
72,able,740,0.93,5,159,2.42
73,every,970,1.22,6,172,2.29
74,follows,824,1.04,5,166,2.27
75,almost,1361,1.72,8,193,2.22
76,together,1025,1.29,6,176,2.21
77,regard,1032,1.30,6,148,2.20
78,far,1741,2.20,10,205,2.19
79,known,885,1.12,5,177,2.16
80,whilst,1073,1.35,6,95,2.15
81,however,2744,3.46,15,98,2.12
82,whether,917,1.16,5,169,2.11
83,even,1654,2.09,9,195,2.11
84,great,2508,3.16,13,198,2.04
85,nerve,973,1.23,5,36,2.03
86,viz,994,1.25,5,4,2.00
87,many,1410,1.78,7,203,1.98
88,regard,1032,1.30,5,148,1.94
89,case,5018,6.33,24,204,1.92
90,considerable,1075,1.36,5,169,1.88
91,similar,1960,2.47,9,220,1.86
92,function,1754,2.21,8,83,1.85
93,function,1754,2.21,8,83,1.85
94,appears,1359,1.71,6,191,1.81
95,order,1597,2.01,7,188,1.80
96,latter,1869,2.36,8,194,1.76
97,value,3294,4.16,14,142,1.75
98,although,1198,1.51,5,174,1.73
99,relation,1200,1.51,5,142,1.72
100,state,1464,1.85,6,153,1.70
101,view,2246,2.83,9,166,1.67
102,becomes,1266,1.60,5,166,1.65
103,described,1860,2.35,7,192,1.58
104,equation,3989,5.03,15,65,1.58
105,obtained,2148,2.71,8,227,1.56
106,difference,2728,3.44,10,193,1.54
107,given,2807,3.54,10,219,1.50
108,point,4406,5.56,15,198,1.43
109,first,4729,5.97,15,238,1.33
110,upon,2916,3.68,9,200,1.29
111,would,3906,4.93,12,227,1.28
112,much,3828,4.83,11,229,1.19
113,may,6679,8.43,18,251,1.10
114,latter,1869,2.36,5,194,1.08
115,general,1873,2.36,5,205,1.08
116,show,2647,3.34,7,191,1.07
117,must,2298,2.90,6,218,1.05
118,nearly,2392,3.02,6,213,0.99
119,fact,2097,2.65,5,178,0.92
120,show,2647,3.34,6,191,0.85
121,series,2235,2.82,5,202,0.83
122,thus,2888,3.64,6,215,0.72
123,point,4406,5.56,9,198,0.70
124,less,3025,3.82,6,215,0.65
125,seen,3106,3.92,6,206,0.61
126,therefore,2787,3.52,5,207,0.51
127,effect,2862,3.61,5,148,0.47
128,found,4237,5.35,7,243,0.39
129,found,4237,5.35,7,243,0.39
130,mean,3755,4.74,6,122,0.34
131,made,3234,4.08,5,227,0.29
132,value,3294,4.16,5,142,0.27
133,equation,3989,5.03,6,65,0.25
134,form,5355,6.76,8,228,0.24
135,result,4137,5.22,6,173,0.20
136,experiment,4837,6.10,7,82,0.20
137,case,5018,6.33,7,204,0.15
138,experiment,4837,6.10,6,82,-0.02
139,form,5355,6.76,6,228,-0.17
140,time,4466,5.63,5,210,-0.17
141,also,4509,5.69,5,248,-0.19
142,also,4509,5.69,5,248,-0.19
143,may,6679,8.43,7,251,-0.27
144,fig,13208,16.66,8,31,-1.06
