No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5679,1.19,58,215,4.61
2,i,9259,1.93,29,219,2.91
3,which,16703,3.49,49,227,2.81
4,are,9698,2.03,22,226,2.44
5,from,13289,2.77,21,225,1.92
6,the,180187,37.63,169,234,1.17
7,by,19369,4.04,18,232,1.15
8,in,47204,9.86,38,234,0.95
9,of,107498,22.45,86,234,0.94
10,and,46028,9.61,30,234,0.64
11,to,38511,8.04,22,232,0.45
12,of,107498,22.45,32,234,-0.49
13,the,180187,37.63,32,234,-1.23
