No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5451,1.40,55,198,4.29
2,from,11140,2.87,37,211,2.69
3,i,9683,2.49,27,211,2.44
4,which,16291,4.19,43,214,2.36
5,have,7351,1.89,18,205,2.25
6,are,8857,2.28,16,219,1.81
7,with,12684,3.27,20,224,1.61
8,with,12684,3.27,20,224,1.61
9,in,42898,11.04,53,226,1.26
10,the,162075,41.73,197,227,1.24
11,it,15123,3.89,18,214,1.21
12,that,16670,4.29,19,208,1.15
13,and,41502,10.68,33,227,0.63
14,to,36391,9.37,27,227,0.53
15,of,94257,24.27,68,227,0.49
16,to,36391,9.37,16,227,-0.23
17,the,162075,41.73,37,227,-1.17
18,of,94257,24.27,21,227,-1.21
