No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5929,1.52,57,214,4.23
2,i,10515,2.69,35,231,2.70
3,from,12268,3.14,38,230,2.60
4,have,7900,2.02,22,222,2.45
5,which,18312,4.68,49,231,2.39
6,are,9898,2.53,18,238,1.83
7,with,13907,3.56,22,243,1.63
8,with,13907,3.56,20,243,1.49
9,in,47111,12.05,56,245,1.22
10,the,181356,46.37,214,246,1.21
11,it,17189,4.40,20,231,1.19
12,that,18864,4.82,19,225,0.98
13,of,104384,26.69,83,246,0.64
14,and,46360,11.85,36,246,0.60
15,to,40878,10.45,29,246,0.47
16,of,104384,26.69,23,246,-1.21
17,the,181356,46.37,39,246,-1.25
