No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5742,1.37,68,247,4.63
2,have,8083,1.93,30,254,2.96
3,from,12869,3.07,41,262,2.74
4,i,11409,2.72,33,262,2.60
5,which,18612,4.44,53,260,2.58
6,are,10204,2.44,28,269,2.52
7,with,14036,3.35,21,273,1.65
8,with,14036,3.35,20,273,1.58
9,that,19539,4.66,25,259,1.42
10,it,18286,4.36,20,258,1.20
11,the,190622,45.49,208,277,1.19
12,in,47474,11.33,44,276,0.96
13,of,108270,25.84,99,277,0.94
14,to,42741,10.20,30,276,0.56
15,and,48794,11.65,31,276,0.41
16,the,190622,45.49,45,277,-1.02
17,of,108270,25.84,22,277,-1.23
