No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,19944,8.94,198,241,3.47
2,this,12126,5.44,91,238,3.07
3,in,54814,24.57,339,245,2.79
4,we,5944,2.66,17,195,1.67
5,is,26024,11.67,70,241,1.59
6,may,6074,2.72,16,228,1.55
7,i,10405,4.66,27,232,1.53
8,from,14942,6.70,37,241,1.47
9,it,18212,8.16,43,239,1.40
10,which,19717,8.84,45,241,1.35
11,is,26024,11.67,59,241,1.34
12,by,20163,9.04,40,243,1.15
13,a,40111,17.98,79,242,1.14
14,the,212079,95.07,378,245,0.99
15,was,11591,5.20,19,229,0.87
16,are,11487,5.15,16,238,0.64
17,with,15942,7.15,19,242,0.41
18,a,40111,17.98,47,242,0.39
19,the,212079,95.07,234,245,0.30
20,of,127676,57.24,130,245,0.18
21,that,19944,8.94,20,241,0.16
22,by,20163,9.04,20,243,0.15
23,at,16390,7.35,16,240,0.12
24,in,54814,24.57,53,245,0.11
25,with,15942,7.15,15,242,0.07
26,and,54543,24.45,44,245,-0.15
27,which,19717,8.84,15,241,-0.24
28,to,45780,20.52,34,243,-0.27
29,to,45780,20.52,24,243,-0.77
30,of,127676,57.24,53,245,-1.11
