No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8052,1.84,35,201,3.25
2,in,24703,5.63,77,214,2.77
3,a,23440,5.34,43,220,2.01
4,i,8191,1.87,14,203,1.91
5,that,12971,2.96,22,201,1.90
6,but,5353,1.22,9,197,1.88
7,is,13143,3.00,21,209,1.81
8,is,13143,3.00,20,209,1.74
9,but,5353,1.22,8,197,1.71
10,which,12122,2.76,15,202,1.44
11,be,11548,2.63,11,205,1.06
12,the,99194,22.62,65,219,0.52
13,a,23440,5.34,15,220,0.49
14,that,12971,2.96,8,201,0.44
15,to,25956,5.92,16,210,0.43
16,and,28724,6.55,15,216,0.20
17,the,99194,22.62,43,219,-0.07
18,in,24703,5.63,10,214,-0.17
19,of,66830,15.24,22,220,-0.47
20,of,66830,15.24,16,220,-0.93
