No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,404,0.20,26,133,6.01
2,that,27289,13.58,951,196,5.13
3,by,25930,12.91,145,196,2.49
4,they,5381,2.68,29,186,2.44
5,in,82003,40.82,441,196,2.43
6,there,5719,2.85,23,193,2.01
7,this,19051,9.48,73,196,1.94
8,it,20698,10.30,70,196,1.76
9,no,7050,3.51,23,194,1.71
10,from,20697,10.30,67,196,1.70
11,the,301887,150.27,952,197,1.66
12,to,58560,29.15,150,196,1.36
13,we,9091,4.53,23,184,1.35
14,is,49777,24.78,98,196,0.98
15,which,20133,10.02,37,196,0.88
16,for,18283,9.10,32,196,0.81
17,the,301887,150.27,457,197,0.60
18,with,22489,11.19,34,196,0.60
19,in,82003,40.82,114,196,0.48
20,this,19051,9.48,26,196,0.46
21,be,20841,10.37,25,196,0.27
22,is,49777,24.78,57,196,0.20
23,and,81855,40.75,84,197,0.04
24,a,68843,34.27,63,196,-0.12
25,of,170098,84.67,142,197,-0.25
26,a,68843,34.27,54,196,-0.34
27,to,58560,29.15,28,196,-1.06
28,of,170098,84.67,51,197,-1.73
