No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1779,0.91,80,208,5.45
2,that,47892,24.56,1339,311,4.77
3,they,7872,4.04,62,309,2.94
4,in,123050,63.10,720,312,2.51
5,this,30558,15.67,164,311,2.39
6,there,9076,4.65,43,308,2.21
7,by,44555,22.85,186,313,2.03
8,we,19755,10.13,73,295,1.85
9,from,30283,15.53,110,312,1.82
10,it,36699,18.82,110,311,1.55
11,the,495857,254.26,1463,312,1.52
12,to,101782,52.19,241,312,1.21
13,which,36217,18.57,67,311,0.85
14,is,77684,39.83,137,312,0.78
15,is,77684,39.83,127,312,0.67
16,the,495857,254.26,782,312,0.62
17,with,36571,18.75,49,312,0.39
18,in,123050,63.10,148,312,0.23
19,be,41560,21.31,48,312,0.17
20,as,42700,21.90,42,311,-0.06
21,a,115787,59.37,113,313,-0.07
22,a,115787,59.37,111,313,-0.10
23,by,44555,22.85,42,313,-0.12
24,of,281662,144.43,242,313,-0.26
25,and,119276,61.16,94,313,-0.38
26,to,101782,52.19,61,312,-0.78
27,of,281662,144.43,93,313,-1.64
