No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1092,0.59,78,192,6.06
2,that,40974,22.00,1279,300,4.86
3,they,6512,3.50,57,291,3.03
4,in,107872,57.91,632,304,2.45
5,this,26266,14.10,131,300,2.22
6,from,25420,13.65,117,302,2.10
7,by,37824,20.31,155,302,1.93
8,it,29743,15.97,105,300,1.72
9,the,409212,219.70,1367,303,1.64
10,we,19284,10.35,62,291,1.58
11,to,86747,46.57,238,303,1.35
12,which,28946,15.54,77,301,1.31
13,the,409212,219.70,715,303,0.70
14,is,63574,34.13,103,301,0.59
15,is,63574,34.13,102,301,0.58
16,this,26266,14.10,41,300,0.54
17,with,30318,16.28,47,303,0.53
18,in,107872,57.91,144,304,0.31
19,for,27889,14.97,35,301,0.22
20,a,104150,55.92,117,304,0.07
21,as,35096,18.84,32,302,-0.24
22,of,232709,124.94,203,304,-0.30
23,a,104150,55.92,90,304,-0.31
24,and,102994,55.30,71,304,-0.64
25,to,86747,46.57,48,303,-0.96
26,of,232709,124.94,65,304,-1.94
